<name4> = <val1>	<name4> に <val1> を代入する
<name1> = <val2>	<name1> に <val2> を代入する
<name3> = <val5>	<name3> を <val5> とする
<name1> = <val2>	<name1> を <val2> とする
<name4> = <val5>	<name4> イコール <val5>
<name1> = <val2>	<name1> イコール <val2>
<name3> = <val2>	<name3> イコール <val2> とする
<name1> = <val2>	<name1> イコール <val2> とする
<name6> = <name5>	<name6> に <name5> を代入する
<name1> = <name2>	<name1> に <name2> を代入する
<name3> = <name5>	<name5> を <name3> に代入する
<name1> = <name2>	<name2> を <name1> に代入する
<name6> + <name3>	<name6> に <name3> を加えた値
<name1> + <name2>	<name1> に <name2> を加えた値
<name1> + <name6>	<name1> に <name6> を加えた値を算出する
<name1> + <name2>	<name1> に <name2> を加えた値を算出する
<name4> + <name3>	<name4> プラス <name3>
<name1> + <name2>	<name1> プラス <name2>
<name6> + <name3>	<name6> たす <name3> を計算する
<name1> + <name2>	<name1> たす <name2> を計算する
<name5> + <name4>	<name5> と <name4> の和
<name1> + <name2>	<name1> と <name2> の和
<name3> + <name4>	<name3> と <name4> の和を算出する
<name1> + <name2>	<name1> と <name2> の和を算出する
<name6> - <name5>	<name6> から <name5> を引いた値
<name1> - <name2>	<name1> から <name2> を引いた値
<name6> - <name1>	<name6> から <name1> を引いた値を求める
<name1> - <name2>	<name1> から <name2> を引いた値を求める
<name5> - <name4>	<name5> マイナス <name4>
<name1> - <name2>	<name1> マイナス <name2>
<name2> - <name6>	<name2> 引く <name6> を算出する
<name1> - <name2>	<name1> 引く <name2> を算出する
<name1> - <name4>	<name1> と <name4> の差
<name1> - <name2>	<name1> と <name2> の差
<name2> - <name3>	<name2> と <name3> の差を算出する
<name1> - <name2>	<name1> と <name2> の差を算出する
<name2> * <name1>	<name2> に <name1> をかけた値
<name1> * <name2>	<name1> に <name2> をかけた値
<name3> * <name4>	<name3> に <name4> をかけた値を算出する
<name1> * <name2>	<name1> に <name2> をかけた値を算出する
<name6> * <name4>	<name6> 掛ける <name4>
<name1> * <name2>	<name1> 掛ける <name2>
<name5> * <name2>	<name5> かける <name2> を計算する
<name1> * <name2>	<name1> かける <name2> を計算する
<name5> * <name3>	<name5> と <name3> の積
<name1> * <name2>	<name1> と <name2> の積
<name5> * <name4>	<name5> と <name4> の積を求める
<name1> * <name2>	<name1> と <name2> の積を求める
<name6> / <name4>	<name6> を <name4> でわった値
<name1> / <name2>	<name1> を <name2> でわった値
<name1> / <name3>	<name1> を <name3> でわった値を求める
<name1> / <name2>	<name1> を <name2> でわった値を求める
<name3> / <name6>	<name3> わる <name6>
<name1> / <name2>	<name1> わる <name2>
<name3> / <name1>	<name3> 割る <name1> を求める
<name1> / <name2>	<name1> 割る <name2> を求める
<name1> / <name4>	<name1> と <name4> の商
<name1> / <name2>	<name1> と <name2> の商
<name6> / <name5>	<name6> と <name5> の商を計算する
<name1> / <name2>	<name1> と <name2> の商を計算する
<name5> / <name3>	<name3> 分の <name5>
<name1> / <name2>	<name2> 分の <name1>
<name1> / <name5>	<name5> 分の <name1> を計算する
<name1> / <name2>	<name2> 分の <name1> を計算する
<name3> // <name1>	<name3> を <name1> でわった値の整数部分
<name1> // <name2>	<name1> を <name2> でわった値の整数部分
<name2> // <name6>	<name2> を <name6> でわった値の整数部分を計算する
<name1> // <name2>	<name1> を <name2> でわった値の整数部分を計算する
