<A> = <B>	<A> に <B> を代入する
<A> = <B>	<A> を <B> とする
<A> = <B>	<A> イコール <B>
<A> = <B>	<A> イコール <B> とする
<A> = <B>	<A> に <B> を代入する
<A> = <B>	<B> を <A> に代入する
<A> + <B>	<A> に <B> を加えた値
<A> + <B>	<A> に <B> を加えた値を算出する
<A> + <B>	<A> プラス <B>
<A> + <B>	<A> たす <B> を計算する
<A> + <B>	<A> と <B> の和
<A> + <B>	<A> と <B> の和を算出する
<A> - <B>	<A> から <B> を引いた値
<A> - <B>	<A> から <B> を引いた値を求める
<A> - <B>	<A> マイナス <B>
<A> - <B>	<A> 引く <B> を算出する
<A> - <B>	<A> と <B> の差
<A> - <B>	<A> と <B> の差を算出する
<A> * <B>	<A> に <B> をかけた値
<A> * <B>	<A> に <B> をかけた値を算出する
<A> * <B>	<A> 掛ける <B>
<A> * <B>	<A> かける <B> を計算する
<A> * <B>	<A> と <B> の積
<A> * <B>	<A> と <B> の積を求める
<A> / <B>	<A> を <B> でわった値
<A> / <B>	<A> を <B> でわった値を求める
<A> / <B>	<A> わる <B>
<A> / <B>	<A> 割る <B> を求める
<A> / <B>	<A> と <B> の商
<A> / <B>	<A> と <B> の商を計算する
<A> / <B>	<B> 分の <A>
<A> / <B>	<B> 分の <A> を計算する
<A> // <B>	<A> を <B> でわった値の整数部分
<A> // <B>	<A> を <B> でわった値の整数部分を計算する
<A> ** 2	<A> の二乗
<A> ** <B>	<A> の <B> 乗を算出する
<A> % <B>	<A> を <B> で割った余り
<A> % <B>	<A> を <B> で割った余りを計算する
<A> % <B>	<A> を <B> で剰余
<A> % <B>	<A> を <B> で剰余を計算する
<A> % <B>	<A> と <B> の mod
<A> % <B>	<A> と <B> の mod を求める
<A> % <B>	<A> と <B> の割り算の余り
<A> % <B>	<A> と <B> の割り算の余りを算出する
( <A> + <B> - 1 ) // <B>	<A> を <B> で割った結果の切り上げ
( <A> + <B> - 1 ) // <B>	<A> を <B> でわった結果の切り上げを求める
( <A> + <B> - 1 ) // <B>	<A> 割る <B> を切り上げる
( <A> + <B> - 1 ) // <B>	<A> 割る <B> の切り上げ
( <A> + <B> - 1 ) // <B>	<A> 割る <B> の切り上げを算出する
( <A> + <B> - 1 ) // <B>	<A> を <B> でわった値を切り上げる
<A> & <B>	<A> と <B> の論理積
<A> & <B>	<A> と <B> の論理積を算出する
<A> | <B>	<A> と <B> の論理和
<A> | <B>	<A> と <B> の論理和を計算する
x ^ <A>	a と <A> の排他的論理和
x ^ <A>	a と <A> の排他的論理和を計算する
<A> << <B>	<A> を <B> だけシフトした左シフト値
<A> << <B>	<A> を <B> だけシフトした左シフト値を求める
<A> >> <B>	<A> を <B> だけシフトした右シフト値
<A> >> <B>	<A> を <B> だけシフトした右シフト値を算出する
<A> += <B>	<A> を <B> だけ増加させる
<A> += <B>	<A> に <B> を足して代入する
<A> += <B>	<A> と <B> の値を足して <A> に代入する
<A> += <B>	<A> たす <B> の値を <A> に代入する
<A> -= <B>	<A> を <B> だけ減少させる
<A> -= <B>	<A> から <B> の値を引いて <A> に代入する
<A> -= <B>	<A> ひく <B> の値を <A> に代入する
<A> *= <B>	<A> を <B> 倍にする
<A> *= <B>	<A> に <B> をかけた値を <A> に代入する
<A> ** = <B>	<A> を <B> 乗する
<A> /= <B>	<A> を <B> 分の一にする
<A> // = <B>	<A> を <B> 分の一にする
<A> % = <B>	<A> を <B> で割った余りを <A> に代入する
abs ( <A> )	<A> の絶対値
abs ( <A> )	<A> の絶対値を計算する
complex ( <A> )	<A> の複素数
complex ( <A> )	<A> の複素数を計算する
complex ( <A> , <B> )	<A> を実部 <B> を虚部とした複素数
complex ( <A> , <B> )	<A> を実部 <B> を虚部とした複素数を求める
divmod ( <A> , <B> )	<A> を <B> で割ったときの商と剰余の組
divmod ( <A> , <B> )	<A> を <B> で割ったときの商とあまりの組を求める
divmod ( <A> , <B> )	<A> と <B> の商と剰余の組
divmod ( <A> , <B> )	<A> と <B> の商と剰余の組を求める
hash ( <A> )	<A> のハッシュ値
hash ( <A> )	<A> のハッシュ値を算出する
pow ( <A> , <B> )	<A> の <B> 乗
pow ( <A> , <B> )	<A> の <B> 乗を求める
pow ( <A> , <B> , <C> )	<A> の <B> 乗に対する <C> の剰余
pow ( <A> , <B> , <C> )	<A> の <B> 乗に対する <C> の剰余を計算する
pow ( <A> , <B> , <C> )	<A> の <B> 乗を <C> で割った余り
pow ( <A> , <B> , <C> )	<A> の <B> 乗を <C> で割った余りを算出する
round ( <A> )	<A> の小数点を丸めた値
round ( <A> )	<A> の小数点を丸めた値を計算する
round ( <A> )	<A> の整数値
round ( <A> )	<A> の整数値を求める
round ( <A> , 1 )	<A> を小数点第一位までに丸めた値
round ( <A> , 1 )	<A> を小数点第一位までに丸めた値を求める
round ( <A> , -1 )	<A> を十の位までに丸めた値
round ( <A> , -1 )	<A> を十の位までに丸めた値を計算する
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の中で一番大きい値
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の中で一番大きい値を算出する
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最大値
max ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最大値を算出する
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の中で一番小さい値
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の中で一番小さい値を算出する
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最小値
min ( <A> , <B> , <C> )	<A> 、 <B> 、 <C> の最小値を求める
del <A>	<A> をデリートする
global <A>	<A> をグローバル変数とする
nonlocal <A>	<A> を非ローカル変数とする
float ( <A> )	<A> を浮動小数点数に変換する
<A> = float ( <B> )	<B> を浮動小数点数にし、 <A> とする
<A> = float ( <B> )	<B> を浮動小数点数にした結果を <A> にする
float ( <A> )	<A> を変換した浮動小数点数
<A> = float ( <B> )	<B> を変換した浮動小数点数を <A> にする
float ( <A> )	<A> を浮動小数点数型として得る
<A> = float ( <B> )	<B> を浮動小数点数型として得、 <A> に代入する
<A> = float ( <B> )	<B> を浮動小数点数型として得た結果を <A> に代入する
int ( <A> )	<A> を整数型にする
<A> = int ( <B> )	<B> を整数に変換し、 <A> にする
<A> = int ( <B> )	<B> を整数に変換した結果を <A> に代入する
int ( <A> )	<A> を変換した整数
<A> = int ( <B> )	<B> を変換した整数を <A> に代入する
int ( <A> )	<A> を整数型として得る
<A> = int ( <B> )	<B> を整数型として得、 <A> とする
<A> = int ( <B> )	<B> を整数型として得た結果を <A> に代入する
str ( <A> )	<A> を文字列型に変換する
<A> = str ( <B> )	<B> を文字列に変換して、 <A> にする
<A> = str ( <B> )	<B> を文字列に変換した結果を <A> とする
str ( <A> )	<A> を変換した文字列
<A> = str ( <B> )	<B> を変換した文字列を <A> とする
str ( <A> )	<A> を文字列型として取得する
<A> = str ( <B> )	<B> を文字列型として取得し、 <A> に代入する
<A> = str ( <B> )	<B> を文字列型として取得した結果を <A> にする
list ( <A> )	<A> のリスト
<A> = list ( <B> )	<B> のリストを <A> にする
list ( <A> )	<A> をリストに変換する
<A> = list ( <B> )	<B> をリスト型に変換して、 <A> に代入する
<A> = list ( <B> )	<B> をリスト型に変換された結果を <A> とする
list ( <A> )	<A> をリスト型として取得する
<A> = list ( <B> )	<B> をリスト型として取得して、 <A> にする
<A> = list ( <B> )	<B> をリスト型として取得された結果を <A> にする
type ( <A> )	<A> のタイプ
type ( <A> )	<A> のタイプを抽出する
type ( <A> )	<A> のタイプを見る
<A> == <B>	<A> と <B> が等しいかどうか
<A> != <B>	<A> と <B> が等しくないかどうか
if <A> == <B> :	もし <A> と <B> が等しい場合
if <A> != <B> :	もし <A> と <B> が等しくないならば
while <A> == <B> :	<A> と <B> が等しい間
while <A> != <B> :	<A> と <B> が等しくない間
<A> == <B>	<A> が <B> と等しいかどうか
<A> != <B>	<A> が <B> と等しくないかどうか
if <A> == <B> :	もし <A> が <B> と等しいならば
if <A> != <B> :	<A> が <B> と等しくないなら
while <A> == <B> :	<A> が <B> と等しい間
while <A> != <B> :	<A> が <B> と等しくない間
<A> == <B>	<A> が <B> かどうか
<A> != <B>	<A> が <B> でないかどうか
if <A> == <B> :	<A> が <B> の場合
if <A> != <B> :	もし <A> が <B> でないなら
while <A> == <B> :	<A> が <B> の間
while <A> != <B> :	<A> が <B> でない間
<A> > <B>	<A> が <B> より大きいかどうか
not <A> > <B>	<A> が <B> より大きくないかどうか
if <A> > <B> :	<A> が <B> より大きいとき
if not <A> > <B> :	もし <A> が <B> より大きくないならば
while <A> > <B> :	<A> が <B> より大きい間
while not <A> > <B> :	<A> が <B> より大きくない間
<A> > <B>	<A> が <B> よりも大きいかどうか
not <A> > <B>	<A> が <B> よりも大きくないかどうか
if <A> > <B> :	もし <A> が <B> よりも大きいなら
if not <A> > <B> :	もし <A> が <B> よりも大きくないならば
while <A> > <B> :	<A> が <B> よりも大きい間
while not <A> > <B> :	<A> が <B> よりも大きくない間
<A> < <B>	<A> が <B> より小さいかどうか
not <A> < <B>	<A> が <B> より小さくないかどうか
if <A> < <B> :	もし <A> が <B> より小さいならば
if not <A> < <B> :	もし <A> が <B> より小さくないとき
while <A> < <B> :	<A> が <B> より小さい間
while not <A> < <B> :	<A> が <B> より小さくない間
<A> < <B>	<A> が <B> よりも小さいかどうか
not <A> < <B>	<A> が <B> よりも小さくないかどうか
if <A> < <B> :	<A> が <B> よりも小さいとき
if not <A> < <B> :	<A> が <B> よりも小さくない場合
while <A> < <B> :	<A> が <B> よりも小さい間
while not <A> < <B> :	<A> が <B> よりも小さくない間
<A> >= <B>	<A> が <B> 以上かどうか
not <A> >= <B>	<A> が <B> 以上でないかどうか
if <A> >= <B> :	もし <A> が <B> 以上の場合
if not <A> >= <B> :	もし <A> が <B> 以上でないならば
while <A> >= <B> :	<A> が <B> 以上の間
while not <A> >= <B> :	<A> が <B> 以上でない間
<A> <= <B>	<A> が <B> 以下かどうか
not <A> <= <B>	<A> が <B> 以下でないかどうか
if <A> <= <B> :	もし <A> が <B> 以下ならば
if not <A> <= <B> :	もし <A> が <B> 以下でないならば
