「ハローワールド」と出力する	print ( 'Hello World' )	math . print ( <A> )
<B> 文字列を最後から半角スペースで分割してリストを返した結果を <A> とする	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
<A> リストの総和を求める	sum ( <A> )	os . sum ( <A> )
<A> に並び順を保ったまま <B> を挿入できる最後のインデックス	bisect . bisect_right ( <A> , <B> )	itertools . bisect_right ( <A> , <B> )
空白を区切り文字に指定して文字列 <B> を分割した結果をリストに直して、 <A> に代入する	<A> = <B> . split ( )	sorted ( <A> , <B> )
ユーザが入力した文字列をリストに変換して、 <A> に代入する	<A> = list ( input ( ) )	print ( <A> , input ( ) )
入っているを <A> に処理する	for key in <A> . keys ( ) : value = <A> [ key ]	itertools . keys ( <A> , key = <A> [ key ]
<A> を逆順にソート直す	sorted ( <A> , reverse = True )	reversed ( <A> , reverse = True )
<A> 文字列を長さが <B> になるように '0' で左を埋めた文字列	<A> . zfill ( <B> )	not <A> . zfill ( <B> )
<A> 、 <B> 、 <C> の最大値を求める	max ( <A> , <B> , <C> )	maxlen . max ( <A> , <B> , <C> )
<A> リスト内の値の順番を逆転する	<A> [ : : -1 ]	[ <A> : : -1 ]
<A> が奇数ならば	if <A> % 2 == 1 :	% <A> % 2 == 1 :
値 <A> を <B> で区切ったデータのリスト	<A> . split ( <B> )	itertools . split ( <A> , <B> )
<B> をリスト <A> の末尾に加える	<A> . append ( <B> )	itertools . append ( <A> , <B> )
リスト <A> からランダムに値を <B> つチョイス直す	random . sample ( <A> , <B> )	bisect . sample ( <A> , <B> )
<B> の先頭から空白改行を抜いた文字列を <A> に代入する	<A> = <B> . lstrip ( )	sorted ( <A> , <B> )
算術用ライブラリをインポート置き換える	import math	math . import ( <A> )
<A> 値を <B> で区切った値のリスト	<A> . split ( <B> )	itertools . split ( <A> , <B> )
<A> 文字列の英大小文字を交換したデータ	<A> . strswap ( )	random . strswap ( <A> )
<A> が <B> より大きいかどうか	<A> > <B>	reversed ( <A> , <B> )
半角スペースを区切り文字に指定して <B> 文字列を分割した結果をリスト型にし、 <A> にする	<A> = <B> . split ( )	sorted ( <A> , <B> )
<B> 文字列を空白で分割してリストを返した結果を <A> にする	<A> = <B> . split ( )	sorted ( <A> , <B> )
<A> に <B> をかけた値を <A> に代入	<A> *= <B>	str ( <A> , <B> )
<B> 文字列を終わりから空白で分割してリストを返した結果を <A> とする	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
<A> を <B> でわったときの商と剰余の組	divmod ( <A> , <B> )	math . divmod ( <A> , <B> )
もし値 <A> が数字であるのとき	if <A> . isdigit ( ) :	for <A> in range ( <B> ) :
リスト <A> をシャッフルする	random . suffle ( <A> )	collections . suffle ( <A> )
<B> で <A> をわった結果の切り上げ	( <A> + <B> - 1 ) // <B>	( <A> - <B> - 1 ) // <B>
<C> の中の正規表現 <A> のパターンにマッチした箇所を <B> に置き換えた値と置き換え箇所の個数	re . subn ( <A> , <B> , <C> )	re . sub ( <A> , <B> , <C> )
もしデータ <A> が英小文字ならば	if <A> . islower ( ) :	islower ( <A> , <B> )
文字列 <B> の英大小文字を交換した文字列を <A> に代入する	<A> = <B> . strswap ( )	print ( <A> = <B> )
文字列 <B> を空白で分割した文字列のリストを <A> とする	<A> = <B> . split ( )	( <A> = <B> . split ( )
文字列を入力する	input ( )	str ( <A> )
<A> の <B> 乗	pow ( <A> , <B> )	math . pow ( <A> , <B> )
<B> リストの中の値を連結した文字列を <A> に代入する	<A> = '' . join ( <B> )	'' . join ( <A> , <B> )
<A> 集合から <B> を削除する	<A> . remove ( <B> )	( <A> . remove ( <B> )
<A> を <B> でわったあまりを <A> に代入	<A> % = <B>	sorted ( <A> % = <B> )
<A> を <B> だけシフトした左シフト値を計算する	<A> << <B>	reversed ( <A> , <B> )
辞書 <A> のキー <B> の	<A> [ <B> ]	sorted ( <A> , <B> )
<B> 文字列を終わりから <C> で最大分割数 <D> まで分割した文字列のリストを <A> とする	<A> = <B> . rsplit ( <C> , <D> )	sorted ( <A> , <B> , <C> , <D> )
半角スペース区切りで入力された複数の整数をリストとして受け取る	list ( map ( int , input ( ) . split ( ) ) )	print ( map ( int , input ( ) . split ( ) ) )
<B> を浮動小数点数に置き換え、 <A> に代入する	<A> = float ( <B> )	float ( <A> , <B> )
<A> 辞書のキー <B> のを参照する	<A> [ <B> ]	del <A> [ <B> ]
リスト <A> を降順にソート置き換える	<A> . sort ( reverse = True )	reversed ( <A> , reverse = True )
文字列 <B> の先頭から空白改行を抜いた文字列を <A> とする	<A> = <B> . lstrip ( )	sorted ( <A> , <B> )
スペースを区切り文字に指定して <B> 文字列を終わりから分割してリストにし、 <A> に代入する	<A> = <B> . rsplit ( )	print ( <A> = <B> )
