もし <A> が偶数の場合	if <A> % 2 == 0 :	== <A> % <B> == 0 :
<A> をランダムにシャッフルする	random . shuffle ( <A> )	<A> = [ ] ]
もし <A> が <B> より小さくないとき	if not <A> < <B> :	if not <A> > <B> :
<A> 回ループする	for i in range ( <A> ) :	min ( <A> ) :
<A> の出力を区切らないで行う	print ( <A> , sep = '' )	print ( <A> , sep = ',' )
もし <A> が <B> 未満または <C> 以上ならば	if <A> < <B> or <A> >= <C> :	except <A> >= <B> :
<B> を <A> にソート順で最後に挿入する	bisect . insort_right ( <A> , <B> )	<A> . sort ( <B> )
真	True	frozenset ( )
<A> と <B> の共通部分を求める	<A> . intersection ( <B> )	divmod ( <A> , <B> )
<B> の逆双曲線正接を <A> に代入する	<A> = math . atanh ( <B> )	math . <A> , <B> )
<A> が <B> 以上でないかどうか	not <A> >= <B>	while <A> >= <B> :
<A> の常用対数を求める	math . log10 ( <A> )	math . log10 <A> ( <A> )
<A> 、 <B> 、 <C> の最大値	max ( <A> , <B> , <C> )	pow ( <A> , <B> , <C> )
<A> の最初を除いた部分列	<A> [ 1 : ]	divmod ( <A> ) :
<A> と <B> の論理積を算出する	<A> & <B>	math . <A> ( <B> )
<A> に <B> を足して代入する	<A> += <B>	breakpoint ( <A> , <B> )
<A> が偶数でないなら	if <A> % 2 != 0 :	not <A> % <B> != 0 :
<A> を <B> で割った剰余を算出する	math . remainder ( <A> , <B> )	pow ( <A> , <B> )
<A> のうち <B> 個までの重複組み合わせ	itertools . combinations_with_replacement ( <A> , <B> )	divmod ( <A> , <B> )
<B> の両端から空白改行を抜いた文字列を <A> にする	<A> = <B> . strip ( )	complex ( <A> , <B> )
<A> ~ <B> の範囲の <C> つ飛ばしの数列	range ( <A> , <B> + <A> , <C> )	if <A> . range ( <B> + <A> , <C> ) :
<B> を末尾から空白で分割してリストを返し、 <A> とする	<A> = <B> . rsplit ( )	int ( <A> , <B> )
もし <A> が <B> と等しいならば	if <A> == <B> :	== <A> == <B> :
<B> の双曲線正弦を <A> にする	<A> = math . sinh ( <B> )	<A> = math . asinh ( <B> )
どれでもなければ	else	break
<A> 内の要素が少なくともひとつは真かどうか	any ( <A> )	round ( <A> )
<A> と <B> の差	<A> - <B>	math . comb <A> ( <A> , <B> )
もし <A> 全てが数字の場合	if <A> . isdigit ( ) :	except <A> : ( <B> ) :
<A> の小数点以下 5 桁までをプリントする	print ( '{:.5f}' . format ( <A> ) )	for print ( <A> ) :
<A> 割る <B> の切り上げを算出する	( <A> + <B> - 1 ) // <B>	complex ( <A> , <B> )
<A> と <B> の商を計算する	<A> / <B>	pow ( <A> , <B> )
<A> 掛ける <B>	<A> * <B>	pow <A> ( <B> )
<B> を最後から <C> で最大分割数 <D> まで分割してリストを返した結果を <A> にする	<A> = <B> . rsplit ( <C> , <D> )	<A> = <B> . split ( <C> , <D> )
パスする	pass	print ( )
<A> の <B> 番目の要素を取り除く	del <A> [ <B> ]	re . <A> ( <A> , <B> )
<B> 以上 <C> 未満の数が並んだリストを <A> とする	<A> = [ i for i in range ( <B> , <C> ) ]	if <A> = list ( <B> , <C> ) :
<A> に <B> を加えた値	<A> + <B>	pow <A> ( <A> , <B> )
乱数シードを <A> として乱数生成器を初期化する	random . seed ( <A> )	list ( <A> )
<A> からランダムに要素を <B> つチョイスする	random . sample ( <A> , <B> )	reversed <A> ( <B> )
ユーザから入力を数字として受け取られた結果を <A> に代入する	<A> = int ( input ( ) )	sorted ( <A> , input ( ) )
<A> わる <B>	<A> / <B>	pow <A> ( <B> )
<B> を整数に変換し、 <A> にする	<A> = int ( <B> )	complex <A> ( <B> )
<B> の <D> 番目から <C> を後ろから探して見つかった位置を <A> に代入する	<A> = <B> . rfind ( <C> , <D> )	, <A> . rfind ( <B> , <C> , <D> )
乱数シードを <A> に固定する	random . seed ( <A> )	math . log ( <A> )
<A> 内の <C> 番目から <D> 番目に <B> がある位置	<A> . find ( <B> , <C> , <D> )	<A> . rfind ( <B> , <C> , <D> )
NaN を確認する	math . nan	math . inf
<B> を全て小文字に変換した結果を <A> にする	<A> = <B> . lower ( )	sorted <A> ( <B> )
<A> を小数点第一位までに丸めた値	round ( <A> , 1 )	re . round ( <A> , 1 )
<A> 以上 <B> 未満の数が並んだリスト	[ i for i in range ( <A> , <B> ) ]	for <A> in range ( <B> , <C> ) :
もし <A> が印字可能なら	if <A> . isprintable ( ) :	all ( <A> ) :
もし <A> と <B> が等しくないならば	if <A> != <B> :	except <A> != <B> :
<A> の終わりから空白改行を取り除いた文字列	<A> . rstrip ( )	<A> . lstrip ( )
<A> が <B> 以下の間	while <A> <= <B> :	<= <A> == <B> :
<A> を <B> 乗する	<A> ** = <B>	pow ( <A> , <B> )
<B> を整数型として得た結果を <A> に代入する	<A> = int ( <B> )	int <A> , <B> )
もし <A> 中の英字全てが大文字ならば	if <A> . isupper ( ) :	except <A> . isupper ( ) :
<A> のラジアン	math . radians ( <A> )	divmod ( <A> ) ]
<A> のアークタンジェントを計算する	math . atan ( <A> )	math . acos ( <A> )
整数値を受け取る	int ( input ( ) )	input ( )
<A> が <B> 以下でないかどうか	not <A> <= <B>	while <A> <= <B> :
もし <A> が数字ならば	if <A> . isdigit ( ) :	for <A> . isdigit ( ) :
ユーザから入力を数字として受け取り、 <A> にする	<A> = int ( input ( ) )	sorted ( <A> , input ( ) )
<A> の常用対数	math . log10 ( <A> )	round <A> )
<A> を深くコピーした結果	copy . deepcopy ( <A> )	sorted ( <A> ) :
<A> が <B> 未満かつ <C> 以上ならば	if <A> < <B> and <A> >= <C> :	except <A> >= <B> :
