エクセルファイル <A> を表に読み込む	pd . read_excel ( <A> )	kind = pd . read_excel ( <A> )
<A> をインデックスで値が小さい順に並び替えた結果を <A> に代入する	<A> = <A> . sort_index ( )	sort_index = <A> . sort_index ( )
データフレーム <A> の欠損がある行を削除された結果で置き換える	<A> = <A> . dropna ( )	dropna = <A> . dropna ( )
データフレーム <A> をファイル <B> というファイル名で CSV ファイルに出力する	<A> . to_csv ( <B> )	to_csv <A> . to_csv ( <B> )
<B> データフレーム全体をインデックスを軸に昇順でソートして、 <A> に代入する	<A> = <B> . sort_index ( )	markerfacecolor = <B> . sort_index ( )
ある <B> を <A> の中に未入力の値とされた結果を <A> とする	<A> = <A> . replace ( <B> , np . nan )	nan <A> = <A> . replace ( <B> , np . nan )
データフレーム <A> の欠損値を <B> に変える	<A> . fillna ( <B> )	plt . fillna ( <A> , <B> )
<B> データフレームをインデックスどおりに昇順でソートした結果を <A> に代入する	<A> = <B> . sort_index ( )	sort_index <A> = <B> . sort_index ( )
打点の輪郭線の幅は <A> を適用する	markeredgewidth = <A>	end = <A>
データフレーム <A> の <B> を NaN に置き換え、置き換える	<A> = <A> . replace ( <B> , np . nan )	np . replace ( <A> , <B> , np . nan , inplace = True )
<B> から <C> に <A> の列名をリネームし、再代入する	<A> = <A> . rename ( columns = { <B> : <C> } )	} = <A> . rename ( columns = { <B> : <C> } )
データフレーム <A> の中の未記入の値を落として、再代入する	<A> = <A> . dropna ( )	nan = <A> . dropna ( )
棒グラフの位置を真ん中として <A> と <B> の鉛直棒グラフを描写する	plt . bar ( <A> , <B> , align = 'center' )	bar plt . bar ( <A> , <B> , align = 'center' )
列番号 <B> をインデックスとデータ <A> を表データに格納する	pd . read_csv ( <A> , index_col = <B> )	set_index = pd . read_csv ( <A> , index_col = <B> )
<A> 内に存在する <B> を欠損にした結果で置き換える	<A> = <A> . replace ( <B> , np . nan )	np . replace ( <A> , <B> , np . nan , inplace = True )
<A> データフレームをインデックスに基づき昇順でソートする	<A> . sort_index ( )	pd . sort_index ( )
<A> の <B> を欠損値で置換して、書き換える	<A> . replace ( <B> , np . nan , inplace = True )	replace <A> . replace ( <B> , np . nan , inplace = True )
データ <A> を <B> 区切りで読む	pd . read_csv ( <A> , sep = <B> )	<A> . pd . read_csv ( <B> , sep = <B> )
<A> データフレームを <B> ファイルという名前で保存する	<A> . to_csv ( <B> )	to_csv <A> . to_csv ( <B> )
存在する <B> を <A> 内に欠損で補って、 <A> に代入する	<A> = <A> . replace ( <B> , np . nan )	nan <A> = <A> . replace ( <B> , np . nan )
<A> データフレーム内のそれぞれのカラムにある <B> の個数の合計	<A> . isin ( [ <B> ] ) . sum ( )	isin <A> = <B> . isin ( [ <C> ] ) . sum ( )
