<A> の 'percipitation' 列内の <B> を 0.0 に置き換える	<A> [ 'precipitation' ] = <A> [ 'precipitation' ] . str . replace ( <B> , 0 ) . astype ( float )	plt . plot ( <A> , <B> , <B> ] ) , align = True )
<A> の name と kcal を抽出し、先頭 5 行を表示する	<A> [ [ 'name' , 'kcal' ] ] . head ( )	<A> . isnull ( ) . head ( )
<A> 番目までの列を表示させる	pd . set_option ( 'display.max_columns' , <A> )	random . seed ( <A> ) . head ( )
<A> の列 <B> にある欠損値を '0.0' に置換	<A> . fillna ( value = { <B> : 0.0 } , inplace = True )	<A> . dropna ( subset = [ <B> , axis , axis = True ) . sum ( )
<A> の <B> 列ごとに <C> 列の値の平均を計算する	<A> . groupby ( [ <B> ] ) [ <C> ] . mean ( )	<A> . groupby ( [ <B> , <C> , <D> ] ] ) [ <C> ] . sum ( )
列 <B> を参照において、自身も含めた後ろ <C> つの要素の平均値を、列 <A> に格納する。	df [ <A> ] = df [ <B> ] . rolling ( window = <C> ) . mean ( )	pd . plot ( <A> [ <B> ] = <A> [ <B> ] , <C> ] , <D> , <D> ) . head ( )
<A> の行数および列数を表示	<A> . shape	random . shape ( <A> [ <A> ) . shape
<A> の <B> 列に欠損値がある行を削除する	<A> . dropna ( subset = [ <B> ] , axis = 0 , inplace = True )	<A> . dropna ( subset = [ <B> , axis = True , axis = True )
remarks 'の行を削除する	df . drop ( [ 'remarks' ] , axis = 1 , inplace = True )	<A> . set_index ( [ <B> ] , axis = True )
<A> の column を確認	<A> . columns	import <A> . shape
<A> の <B> 列と <C> 列の上 5 行を表示する	<A> [ [ <B> , <C> ] ] . head ( )	<A> [ <B> , <C> , <C> ] . head ( )
<A> の形状を取得する。	<A> . dtypes	from <A> [ <A> . shape
<A> の <B> と <C> をインポートする	from <A> import <B> , <C>	import <A> <B> as <C>
<A> に含まれる欠損値の有無を行ごとに判定し、初めの５行について結果を表示	<A> [ <A> . isnull ( ) . any ( axis = 1 ) ] . head ( )	pd . DataFrame ( df [ <A> [ <A> ] . head ( ) . head ( ) . head ( )
データ <A> の absences についての標準偏差を取得	<A> [ 'absences' ] . std ( )	<A> [ <A> [ 'absences' 'absences' ] ] ) . head ( )
