「ハローワールド」と出力する	print ( 'Hello World' )	math . print ( <A> )
<B> 文字列を最後から半角スペースで分割してリストを返した結果を <A> とする	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
<A> リストの総和を求める	sum ( <A> )	os . sum ( <A> )
半角スペースを区切り文字に指定して <A> を分割した結果をリストに直す	<A> . split ( )	<A> . split ( )
<A> に並び順を保ったまま <B> を挿入できる最後のインデックス	bisect . bisect_right ( <A> , <B> )	itertools . bisect_right ( <A> , <B> )
<A> 値内の <B> の登場回数を見る	<A> . count ( <B> )	<A> . count ( <B> )
空白を区切り文字に指定して文字列 <B> を分割した結果をリストに直して、 <A> に代入する	<A> = <B> . split ( )	sorted ( <A> , <B> )
ユーザが入力した文字列をリストに変換して、 <A> に代入する	<A> = list ( input ( ) )	print ( <A> , input ( ) )
もし <A> が <B> と等しくないならば	if <A> != <B> :	if <A> != <B> :
入っているを <A> に処理する	for key in <A> . keys ( ) : value = <A> [ key ]	itertools . keys ( <A> , key = <A> [ key ]
<B> リストを降順にし、 <A> にする	<A> = <B> . reverse ( )	<A> = <B> . reverse ( )
<B> 文字列の中の <D> 番目から <E> 番目に <C> がある右側の位置を <A> にする	<A> = <B> . rfind ( <C> , <D> , <E> )	<A> = <B> . rfind ( <C> , <D> , <E> )
<A> を逆順にソート直す	sorted ( <A> , reverse = True )	reversed ( <A> , reverse = True )
<A> 文字列を長さが <B> になるように '0' で左を埋めた文字列	<A> . zfill ( <B> )	not <A> . zfill ( <B> )
<A> たす <B> の値を <A> に代入する	<A> += <B>	<A> += <B>
ネイピア数を算出する	math . e	math . e
<A> リストの全ての値を削除する	<A> . clear ( )	<A> . clear ( )
<A> 、 <B> 、 <C> の最大値を求める	max ( <A> , <B> , <C> )	maxlen . max ( <A> , <B> , <C> )
<B> を <A> の最後に加える	<A> . append ( <B> )	<A> . append ( <B> )
<A> と <B> の最大公約数を調べる	math . gcd ( <A> , <B> )	math . gcd ( <A> , <B> )
<A> リスト内の値の順番を逆転する	<A> [ : : -1 ]	[ <A> : : -1 ]
<A> リストの中の <B> と等しい要素の最初を消去する	<A> . remove ( <B> )	<A> . remove ( <B> )
<A> が奇数ならば	if <A> % 2 == 1 :	% <A> % 2 == 1 :
値 <A> を <B> で区切ったデータのリスト	<A> . split ( <B> )	itertools . split ( <A> , <B> )
文字列 <A> の先頭から空白改行を除いたデータ	<A> . lstrip ( )	<A> . lstrip ( )
空白で区切って入力された複数の整数をリストとして受け取り、 <A> にする	<A> = list ( map ( int , input ( ) . split ( ) ) )	<A> = list ( map ( int , input ( ) . split ( ) ) )
<B> をリスト <A> の末尾に加える	<A> . append ( <B> )	itertools . append ( <A> , <B> )
<C> を区切り文字、最大分割数を <D> に指定して文字列 <B> を分割した結果をリスト型に置き換え、 <A> とする	<A> = <B> . split ( <C> , <D> )	<A> = <B> . split ( <C> , <D> )
ユーザから入力を数字として得る	int ( input ( ) )	int ( input ( ) )
リスト <A> からランダムに値を <B> つチョイス直す	random . sample ( <A> , <B> )	bisect . sample ( <A> , <B> )
値 <A> の中の <B> の出現回数を調べる	<A> . count ( <B> )	<A> . count ( <B> )
<B> の先頭から空白改行を抜いた文字列を <A> に代入する	<A> = <B> . lstrip ( )	sorted ( <A> , <B> )
繰り返すたびに <A> にリスト [ <B> , <C> , <D> ] の要素を代入	for <A> in [ <B> , <C> , <D> ] :	for <A> in [ <B> , <C> , <D> ] :
算術用ライブラリをインポート置き換える	import math	math . import ( <A> )
数字を得た結果を <A> にする	<A> = int ( input ( ) )	<A> = int ( input ( ) )
<A> 値を <B> で区切った値のリスト	<A> . split ( <B> )	itertools . split ( <A> , <B> )
入れてリスト <C> 内の値を <B> を間に連結したデータを <A> に代入する	<A> = <B> . join ( <C> )	<A> = <B> . join ( <C> )
<A> 文字列の英大小文字を交換したデータ	<A> . strswap ( )	random . strswap ( <A> )
<A> の各要素の絶対値でソートする	sorted ( <A> , key = abs )	sorted ( <A> , key = abs )
<A> が <B> より大きいかどうか	<A> > <B>	reversed ( <A> , <B> )
半角スペースを区切り文字に指定して <B> 文字列を分割した結果をリスト型にし、 <A> にする	<A> = <B> . split ( )	sorted ( <A> , <B> )
<B> 文字列を空白で分割してリストを返した結果を <A> にする	<A> = <B> . split ( )	sorted ( <A> , <B> )
<A> に <B> をかけた値を <A> に代入	<A> *= <B>	str ( <A> , <B> )
<A> に <B> 未満の連続した数値を代入して、以降のプログラムをループ直す	for <A> in range ( <B> ) :	for <A> in range ( <B> ) :
<B> 文字列を終わりから空白で分割してリストを返した結果を <A> とする	<A> = <B> . rsplit ( )	sorted ( <A> , <B> )
<A> とプリントする	print ( <A> )	print ( <A> )
