データフレーム <A> 中の未記入の値を <B> に置換し、置き換える	<A> . fillna ( <B> , inplace = True )	<B> <A> . fillna ( <B> , inplace = True )
( <A> [ <B> ] ) の平均値をチェックする	<A> [ <B> ] . mean ( )	[ <A> [ <B> ] . mean ( )
<A> 内の欠損を <B> に置換し、再代入する	<A> = <A> . fillna ( <B> )	<A> = <A> . fillna ( <B> )
データフレーム <B> のインデックスをリセットを <A> にする	<A> = <B> . reset_index ( )	<A> = <B> . reset_index ( )
<B> の <E> について <C> をインデックス、 <D> をカラムとしたピボットテーブルを作成した結果を <A> にする	<A> = <B> . pivot_table ( index = <C> , columns = <D> , values = <E> )	pivot_table <A> = <B> . pivot_table ( columns = <C> , values = <D> )
<A> 内の欠損値を <B> とした結果を <A> とする	<A> = <A> . fillna ( <B> )	<A> = <A> . fillna ( <B> )
<A> を <B> から <C> の区間の柱状図を用いて表示する	plt . hist ( <A> , range = ( <B> , <C> ) )	<A> = <B> . rename ( columns = { <C> : <D> } )
x 軸のラベルを <A> にセットする	plt . xlabel ( <A> )	plt . xlabel ( <A> )
<A> の中の <B> を未記入の値に変え未記入の値がある行を落とされた結果でインプレースする	<A> . replace ( <B> , np . nan ) . dropna ( inplace = True )	<A> . replace ( <B> , np . nan ) . dropna ( inplace = True )
列番号 <B> をインデックスとして <A> データを表データに格納する	pd . read_csv ( <A> , index_col = <B> )	set_index = pd . read_csv ( <A> , index_col = <B> )
<A> 内の <B> , <C> , <D> 行目の <E> , <C> 列目	<A> . iloc [ [ <B> , <C> , <D> ] , [ <E> , <C> ] ]	pd . cut ( <A> [ <B> ] , <C> , label = <D> )
<B> と <C> を元に <A> 全体を降順でソートした結果で置き換える	<A> = <A> . sort_values ( [ <B> , <C> ] , ascending = False )	flush = <A> . sort_values ( [ <B> , <C> ] , ascending = False , inplace = True )
<B> データフレームの <C> コラムを区間の数を <D> 、ビンのラベルを <E> リストとして分割した結果を <A> とする	<A> = pd . cut ( <B> [ <C> ] , <D> , label = <E> )	<A> = pd . cut ( <B> [ <C> ] , <D> , label = <E> )
<A> データフレームにおいて <B> カラムと <C> カラムと <D> カラムの関係性を一気に表示する	sns . pairplot ( <A> [ [ <B> , <C> , <D> ] ] )	<A> . groupby ( [ <B> , <C> ] ) [ <D> ] . sum ( )
データフレーム <A> 中にある <B> を NaN に置き換えた結果で書き換える	<A> . replace ( <B> , np . nan , inplace = True )	replace <A> . replace ( <B> , np . nan , inplace = True )
カラム <B> と列 <C> でデータフレーム <A> を値が大きい順にソートする	<A> . sort_values ( [ <B> , <C> ] , ascending = False )	ascending . sort_values ( [ <A> [ <B> , <C> ] , ascending = False )
<A> をインデックスに基づいて昇順でソートした結果を <A> とする	<A> = <A> . sort_index ( )	sort_index = <A> . sort_index ( )
インデックスを元に <A> データフレームを小さい順にソートした結果で置き換える	<A> = <A> . sort_index ( )	kind = <A> . sort_index ( )
CSV データ <B> をタブ区切りで読んだ結果を <A> とする	<A> = pd . read_csv ( <B> , sep = '\t' )	<A> = pd . read_csv ( <B> , sep = '\t' )
データフレーム <A> の中の <B> , <C> , <D> 行目の <E> , <C> 列目	<A> . iloc [ [ <B> , <C> , <D> ] , [ <E> , <C> ] ]	pd . cut ( <A> [ <B> ] , <C> , label = <D> )
<B> データフレーム中にある <C> を未記入の値に置き換えた結果を <A> に代入する	<A> = <B> . replace ( <C> , np . nan )	<B> <A> = <B> . replace ( <C> , np . nan )
データフレーム <A> 中の NaN をデータフレーム <A> の平均で補われた、結果でインプレースする	<A> . fillna ( <A> . mean ( ) , inplace = True )	pd . fillna ( <A> . mean ( ) , inplace = True )
<A> データフレームの <B> コラムをインデックスに設定して、インプレースする	<A> . set_index ( <B> , inplace = True )	<A> . set_index ( <B> , inplace = True )
真偽値で重複があるのかどうかをデータフレーム <A> に返す	<A> . duplicated ( )	duplicated <A> . duplicated ( )
<A> を昇順に <B> でソートした結果を <A> に代入する	<A> = <A> . sort_values ( <B> )	range = <A> . sort_values ( <B> )
<A> データフレームの <B> コラムと <C> をドロップされた結果を <A> とする	<A> = <A> . drop ( [ <B> , <C> ] , axis = 1 )	plt . plot ( <A> , <B> , axis = 1 , inplace = True )
<A> データフレーム中の重複を判定	<A> . duplicated ( )	<A> . duplicated ( )
文字コードがシフト JIS のファイル <A> を読み込む	pd . read_csv ( <A> , encoding = 'shift_jis' )	start = pd . read_csv ( <A> , encoding = 'shift_jis' )
<A> 中にある <B> を未記入の値にして、インプレースする	<A> . replace ( <B> , np . nan , inplace = True )	replace <A> . replace ( <B> , np . nan , inplace = True )
<B> データフレーム中の欠損を含む行を削除し、 <A> にする	<A> = <B> . dropna ( )	<A> = <B> . dropna ( )
<B> と <C> を元に <A> を逆順でソートして、置き換える	<A> = <A> . sort_values ( [ <B> , <C> ] , ascending = False )	flush = <A> . sort_values ( [ <B> , <C> ] , ascending = False , inplace = True )
円グラフに割合を小数点以下 2 桁までのパーセント表記で表示する	autopct = '%.2f%%'	autopct = '%.2f%%'
<B> 内の欠損を <B> の平均値で埋められた結果を <A> とする	<A> = <B> . fillna ( <B> . mean ( ) )	<A> = <B> . fillna ( <B> . mean ( ) )
<A> の中の未入力の値を <B> に置換した結果で置き換える	<A> = <A> . fillna ( <B> )	<B> <A> . fillna ( <B> , inplace = True )
<A> データフレームの <B> を欠損値に置換した結果で置き換える	<A> . replace ( <B> , np . nan , inplace = True )	np . replace ( <A> , <B> , np . nan , inplace = True )
<A> データフレームについてダミー変数を生成する	pd . get_dummies ( <A> )	get_dummies = pd . get_dummies ( <A> )
区関数を <D> として <B> データフレームの <C> コラムを分割した結果を <A> に代入する	<A> = pd . cut ( <B> [ <C> ] , <D> )	[ <A> = pd . cut ( <B> [ <C> ] , <D> )
<B> データフレーム全体をインデックスを軸に昇順でソートして、 <A> に代入する	<A> = <B> . sort_index ( )	markerfacecolor = <B> . sort_index ( )
<B> と <C> で <A> を値が大きい順にソートして、置き換える	<A> = <A> . sort_values ( [ <B> , <C> ] , ascending = False )	flush = <A> . sort_values ( [ <B> , <C> ] , ascending = False , inplace = True )
データフレーム <B> の列名を <C> から <D> に変更して、 <A> に代入する	<A> = <B> . rename ( columns = { <C> : <D> } )	} = <B> . rename ( columns = { <C> : <D> } )
<B> 内の <C> を欠損に置換し欠損が存在する行を削除して、 <A> にする	<A> = <B> . replace ( <C> , np . nan ) . dropna ( )	<A> = <B> . replace ( <C> , np . nan ) . dropna ( )
<A> データフレームをインデックスを軸に昇順でソートした結果を <A> にする	<A> = <A> . sort_index ( )	sort_index = <A> . sort_index ( )
打点の色を紫とする	markerfacecolor = 'purple'	marker = 'purple'
<B> から <C> にデータフレーム <A> の行名をリネームして、 <A> とする	<A> = <A> . rename ( index = { <B> : <C> } )	<A> = <A> . rename ( index = { <B> : <C> } )
<A> データフレームを <B> コラムと <C> 列が降順になるようにソートされた結果で置き換える	<A> . sort_values ( [ <B> , <C> ] , ascending = False , inplace = True )	flush = <A> . sort_values ( [ <B> , <C> ] , ascending = False , inplace = True )
<A> データフレーム中の未記入の値を落とす	<A> . dropna ( )	plt . dropna ( )
<A> 内のそれぞれのカラムにある <B> の個数の和	<A> . isin ( [ <B> ] ) . sum ( )	isin <A> = <B> . isin ( [ <C> ] ) . sum ( )
インデックスを元に <A> 全体を小さい順にソートし、置き換える	<A> . sort_index ( inplace = True )	kind = <A> . sort_index ( )
<A> データフレームの <B> 列内の前後の行の差分を計算する	<A> [ <B> ] . diff ( periods = 1 )	<A> [ <B> ] . diff ( periods = 1 )
<A> データフレームをインデックスを軸に昇順でソートして、インプレースする	<A> . sort_index ( inplace = True )	<A> . sort_index ( inplace = True )
CSV データ <B> をデータフレームとして読み込んで、 <A> とする	<A> = pd . read_csv ( <B> )	markerfacecolor = pd . read_csv ( <A> , <B> )
<A> データフレーム中の <B> を欠損に置き換え欠損が存在する行を削除して、インプレースする	<A> . replace ( <B> , np . nan ) . dropna ( inplace = True )	<A> . replace ( <B> , np . nan ) . dropna ( inplace = True )
<B> データフレームの <C> を未記入の値に置き換え、 <A> に代入する	<A> = <B> . replace ( <C> , np . nan )	<B> <A> = <B> . replace ( <C> , np . nan )
<A> でダブっているものがあるかどうか確認する	<A> . duplicated ( )	duplicated <A> . duplicated ( )
マーカーの種類の色を黄色とする	markerfacecolor = 'yellow'	markeredgecolor = 'yellow'
<A> という名前で作画したグラフをセーブする	plt . savefig ( <A> )	plt . savefig ( <A> )
<B> を昇順に <C> でソートした結果を <A> に代入する	<A> = <B> . sort_values ( <C> )	markerfacecolor = <B> . sort_values ( <C> )
<B> データフレームの中の未入力の値が存在する行を取り除いて、 <A> にする	<A> = <B> . dropna ( )	errors = <B> . dropna ( )
<B> の列名を <C> から <D> にして、 <A> に代入する	<A> = <B> . rename ( columns = { <C> : <D> } )	} = { <B> . rename ( columns = { <C> : <D> } )
<A> データフレームをインデックスで並び替え、書き換える	<A> . sort_index ( inplace = True )	sort_index = <A> . sort_index ( )
<B> データフレームの中の未記入の値を <C> とした結果を <A> にする	<A> = <B> . fillna ( <C> )	markeredgecolor = <B> . fillna ( <C> )
<A> データフレームのカラム名を <B> から <C> にした結果を再代入する	<A> = <A> . rename ( columns = { <B> : <C> } )	<A> = <A> . rename ( columns = { <B> : <C> } )
データフレーム <B> 内の <C> を欠損に置換し欠損が存在する行を削除した結果を <A> に代入する	<A> = <B> . replace ( <C> , np . nan ) . dropna ( )	<A> = <B> . replace ( <C> , np . nan ) . dropna ( )
y 軸を <A> とした <B> の横方向の棒グラフを表示する	plt . barh ( <A> , <B> )	plt . barh ( <A> , <B> , align = 'center' )
ある <B> を <A> データフレームの中に未記入の値にした結果で置き換える	<A> . replace ( <B> , np . nan , inplace = True )	np . replace ( <A> , <B> , np . nan , inplace = True )
<A> として作ったグラフをセーブする	plt . savefig ( <A> )	plt . savefig ( <A> )
<A> データフレーム中の <B> を欠損に置換し欠損が存在する行を削除して、置き換える	<A> = <A> . replace ( <B> , np . nan ) . dropna ( )	<A> . replace ( <B> , np . nan ) . dropna ( inplace = True )
<A> 中にある <B> を未記入の値に置き換える	<A> . replace ( <B> , np . nan )	<A> . replace ( <B> , np . nan )
<A> と <B> に対して <C> をキーとしてデータをマージする	pd . merge ( <A> , <B> , on = <C> )	on = pd . merge ( <A> , <B> , on = <C> )
データフレーム <A> の列 <B> 、コラム <C> 、カラム <D> 、列 <E> を選ぶ	<A> [ [ <B> , <C> , <D> , <E> ] ]	sns . pairplot ( <A> [ [ <B> , <C> , <D> , <E> ] ] )
データフレーム <A> 内のそれぞれのカラムに存在する <B> の個数の合計	<A> . isin ( [ <B> ] ) . sum ( )	isin <A> [ <B> ] . sum ( )
<A> データフレームの中の未入力の値を <A> データフレームの平均をとって補って、置き換える	<A> . fillna ( <A> . mean ( ) , inplace = True )	pd . fillna ( <A> . mean ( ) , inplace = True )
<A> をタブ区切りで読み込む	pd . read_csv ( <A> , sep = '\t' )	kind = pd . read_csv ( <A> , sep = '\t' )
<A> の中の未入力の値がある行を落とし、置き換える	<A> = <A> . dropna ( )	dropna = <A> . dropna ( )
データフレーム <A> のコラム <B> についての分散をえる	<A> [ <B> ] . var ( )	plt [ <A> [ <B> ] . var ( )
線の形状は破線を使う	linestyle = 'dashed'	cut = 'dashed'
タブ区切りで <B> データを読んで、 <A> にする	<A> = pd . read_csv ( <B> , sep = '\t' )	plt . read_csv ( <A> , sep = '\t' )
<A> データフレームの <B> を未記入の値にし、インプレースする	<A> . replace ( <B> , np . nan , inplace = True )	replace <A> . replace ( <B> , np . nan , inplace = True )
<B> と <C> を縦向きにマージし、 <A> にする	<A> = pd . concat ( [ <B> , <C> ] )	markerfacecolor = pd . concat ( [ <A> , <B> , <C> ] )
データフレーム <B> の中の未入力の値をデータフレーム <B> の平均をとって補われた、結果を <A> にする	<A> = <B> . fillna ( <B> . mean ( ) )	<A> = <B> . fillna ( <B> . mean ( ) )
データフレーム <B> 全体をコラム <C> と列 <D> が降順になるようにソートし、 <A> に代入する	<A> = <B> . sort_values ( [ <C> , <D> ] , ascending = False )	<A> = <B> . sort_values ( [ <C> , <D> ] , ascending = False )
<A> データフレーム内の欠損を直前の行の値で補った結果で書き換える	<A> . fillna ( method = 'ffill' , inplace = True )	<A> . fillna ( method = 'ffill' , inplace = True )
<B> データフレームの <C> を未記入の値で補った結果を <A> に代入する	<A> = <B> . replace ( <C> , np . nan )	<B> <A> = <B> . replace ( <C> , np . nan )
<A> データフレームの中のダブっているデータ	<A> [ <A> . duplicated ( ) ]	<A> [ <A> . duplicated ( ) ]
描画したグラフを <A> でセーブする	plt . savefig ( <A> )	kind = <A> . savefig ( <A> )
打点の輪郭の色は紫を適用する	markeredgecolor = 'purple'	markeredgecolor = 'purple'
