<name3> = <val6>	<name3> に <val6> を入れる
<name1> = <val2>	<name1> に <val2> を入れる
<name5> = <val6>	<val6> を <name5> に代入する
<name1> = <val2>	<val2> を <name1> に代入する
<name2> = <val3>	<val3> を <name2> に代入
<name1> = <val2>	<val2> を <name1> に代入
<name3> = <val2>	<val2> を <name3> に入れる
<name1> = <val2>	<val2> を <name1> に入れる
<name6> = <val4>	<name6> に <val4> を代入する
<name1> = <val2>	<name1> に <val2> を代入する
<name5> = <val1>	<name5> に <val1> を代入
<name1> = <val2>	<name1> に <val2> を代入
<name5> = <val6>	<name5> を <val6> とする
<name1> = <val2>	<name1> を <val2> とする
<name2> = <val3>	<name2> イコール <val3>
<name1> = <val2>	<name1> イコール <val2>
<name1> = <val2>	<name1> イコール <val2> とする
<name5> = <name2>	<name5> に <name2> を代入する
<name1> = <name2>	<name1> に <name2> を代入する
<name2> = <name1>	<name2> に <name1> を代入
<name1> = <name2>	<name1> に <name2> を代入
<name2> = <name1>	<name2> に <name1> を入れる
<name1> = <name2>	<name1> に <name2> を入れる
<name6> = <name3>	<name3> を <name6> に代入する
<name1> = <name2>	<name2> を <name1> に代入する
<name2> = <name4>	<name4> を <name2> に入れる
<name1> = <name2>	<name2> を <name1> に入れる
<name1> = <name3>	<name3> を <name1> に代入
<name1> = <name2>	<name2> を <name1> に代入
<name2> = <name3>	<name3> を <name2> に代入する
<name1> = <name2>	<name2> を <name1> に代入する
<name5> = <name4>	<name5> に <name4> を入れる
<name1> = <name2>	<name1> に <name2> を入れる
<name2> = <name6>	<name6> を <name2> に入れる
<name1> = <name2>	<name2> を <name1> に入れる
<name5> = <name4>	<name4> を <name5> に代入
<name1> = <name2>	<name2> を <name1> に代入
<name3> = <name1>	<name3> に <name1> を代入
<name1> = <name2>	<name1> に <name2> を代入
<name6> = <name4>	<name6> に <name4> を代入する
<name1> = <name2>	<name1> に <name2> を代入する
<name2> + <name3>	<name2> に <name3> を加えた値
<name1> + <name2>	<name1> に <name2> を加えた値
<name4> + <name1>	<name1> を <name4> に加えた値
<name1> + <name2>	<name2> を <name1> に加えた値
<name6> + <name2>	<name6> に <name2> を加えた値を計算する
<name1> + <name2>	<name1> に <name2> を加えた値を計算する
<name2> + <name5>	<name5> を <name2> に加えた値を計算する
<name1> + <name2>	<name2> を <name1> に加えた値を計算する
<name2> + <name5>	<name2> プラス <name5>
<name1> + <name2>	<name1> プラス <name2>
<name2> + <name5>	<name2> たす <name5>
<name1> + <name2>	<name1> たす <name2>
<name6> + <name4>	<name6> 足す <name4>
<name1> + <name2>	<name1> 足す <name2>
<name3> + <name6>	<name3> プラス <name6> を算出する
<name1> + <name2>	<name1> プラス <name2> を算出する
<name1> + <name5>	<name1> 足す <name5> を算出する
<name1> + <name2>	<name1> 足す <name2> を算出する
<name2> + <name3>	<name2> たす <name3> を計算する
<name1> + <name2>	<name1> たす <name2> を計算する
<name5> + <name6>	<name5> と <name6> の和
<name1> + <name2>	<name1> と <name2> の和
<name1> + <name2>	<name1> と <name2> の和を算出する
<name2> - <name1>	<name2> から <name1> を引いた値
<name1> - <name2>	<name1> から <name2> を引いた値
<name2> - <name3>	<name2> から <name3> を引いた値を算出する
<name1> - <name2>	<name1> から <name2> を引いた値を算出する
<name2> - <name5>	<name2> 引く <name5>
<name1> - <name2>	<name1> 引く <name2>
<name3> - <name4>	<name3> マイナス <name4>
<name1> - <name2>	<name1> マイナス <name2>
<name4> - <name1>	<name4> ひく <name1>
<name1> - <name2>	<name1> ひく <name2>
<name5> - <name3>	<name5> マイナス <name3> を計算する
<name1> - <name2>	<name1> マイナス <name2> を計算する
<name4> - <name3>	<name4> 引く <name3> を算出する
<name1> - <name2>	<name1> 引く <name2> を算出する
<name2> - <name1>	<name2> ひく <name1> を計算する
<name1> - <name2>	<name1> ひく <name2> を計算する
<name1> - <name4>	<name1> と <name4> の差
<name1> - <name2>	<name1> と <name2> の差
<name5> - <name3>	<name5> と <name3> の差を計算する
<name1> - <name2>	<name1> と <name2> の差を計算する
<name3> * <name6>	<name3> に <name6> をかけた値
<name1> * <name2>	<name1> に <name2> をかけた値
<name3> * <name1>	<name1> を <name3> にかけた値
<name1> * <name2>	<name2> を <name1> にかけた値
<name5> * <name2>	<name5> に <name2> をかけた値を算出する
<name1> * <name2>	<name1> に <name2> をかけた値を算出する
<name2> * <name6>	<name6> を <name2> にかけた値を求める
<name1> * <name2>	<name2> を <name1> にかけた値を求める
<name4> * <name6>	<name4> 掛ける <name6>
<name1> * <name2>	<name1> 掛ける <name2>
<name2> * <name5>	<name2> かける <name5>
<name1> * <name2>	<name1> かける <name2>
<name2> * <name3>	<name2> かける <name3> を算出する
<name1> * <name2>	<name1> かける <name2> を算出する
<name2> * <name3>	<name2> 掛ける <name3> を算出する
<name1> * <name2>	<name1> 掛ける <name2> を算出する
<name1> * <name2>	<name1> と <name2> の積
<name1> * <name3>	<name1> と <name3> の積を計算する
<name1> * <name2>	<name1> と <name2> の積を計算する
<name6> / <name4>	<name6> を <name4> でわった値
<name1> / <name2>	<name1> を <name2> でわった値
<name2> / <name4>	<name2> を <name4> でわった値を算出する
<name1> / <name2>	<name1> を <name2> でわった値を算出する
<name4> / <name5>	<name4> 割る <name5>
<name1> / <name2>	<name1> 割る <name2>
<name4> / <name3>	<name4> わる <name3>
<name1> / <name2>	<name1> わる <name2>
<name6> / <name5>	<name6> わる <name5> を算出する
<name1> / <name2>	<name1> わる <name2> を算出する
<name3> / <name4>	<name3> 割る <name4> を計算する
<name1> / <name2>	<name1> 割る <name2> を計算する
<name4> / <name3>	<name4> と <name3> の商
<name1> / <name2>	<name1> と <name2> の商
<name4> / <name1>	<name4> と <name1> の商を求める
<name1> / <name2>	<name1> と <name2> の商を求める
<name2> / <name1>	<name1> 分の <name2>
<name1> / <name2>	<name2> 分の <name1>
<name5> / <name2>	<name2> 分の <name5> を算出する
<name1> / <name2>	<name2> 分の <name1> を算出する
<name3> // <name4>	<name3> を <name4> でわった値の整数部分
<name1> // <name2>	<name1> を <name2> でわった値の整数部分
<name2> // <name3>	<name2> を <name3> でわった値の整数部分を計算する
<name1> // <name2>	<name1> を <name2> でわった値の整数部分を計算する
<name2> ** 2	<name2> の二乗
<name1> ** 2	<name1> の二乗
<name3> ** <val2>	<name3> の <val2> 乗
<name1> ** <val2>	<name1> の <val2> 乗
<name4> ** <val5>	<name4> の <val5> 乗を求める
<name1> ** <val2>	<name1> の <val2> 乗を求める
<name4> ** 2	<name4> の二乗を計算する
<name1> ** 2	<name1> の二乗を計算する
<name1> % <name4>	<name1> を <name4> で割った余り
<name1> % <name2>	<name1> を <name2> で割った余り
<name1> % <name2>	<name1> を <name2> で割ったあまり
<name3> % <name2>	<name3> を <name2> で割った余りを求める
<name1> % <name2>	<name1> を <name2> で割った余りを求める
<name4> % <name2>	<name4> を <name2> で割ったあまりを算出する
<name1> % <name2>	<name1> を <name2> で割ったあまりを算出する
<name1> % <name4>	<name1> を <name4> で剰余
<name1> % <name2>	<name1> を <name2> で剰余
<name5> % <name4>	<name4> で <name5> を剰余
<name1> % <name2>	<name2> で <name1> を剰余
<name2> % <name1>	<name2> を <name1> で剰余を求める
<name1> % <name2>	<name1> を <name2> で剰余を求める
<name5> % <name6>	<name6> で <name5> を剰余を求める
<name1> % <name2>	<name2> で <name1> を剰余を求める
<name6> % <name1>	<name6> と <name1> の mod
<name1> % <name2>	<name1> と <name2> の mod
<name4> % <name1>	<name4> と <name1> の mod を計算する
<name1> % <name2>	<name1> と <name2> の mod を計算する
<name2> % <name4>	<name2> と <name4> の割り算の余り
<name1> % <name2>	<name1> と <name2> の割り算の余り
<name6> % <name3>	<name6> と <name3> の割り算のあまり
<name1> % <name2>	<name1> と <name2> の割り算のあまり
<name3> % <name1>	<name3> と <name1> の割り算の余りを求める
<name1> % <name2>	<name1> と <name2> の割り算の余りを求める
<name5> % <name1>	<name5> と <name1> の割り算のあまりを算出する
<name1> % <name2>	<name1> と <name2> の割り算のあまりを算出する
( <name6> + <name3> - 1 ) // <name3>	<name6> を <name3> でわった結果の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> でわった結果の切り上げ
( <name1> + <name3> - 1 ) // <name3>	<name3> で <name1> をわった結果の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name2> で <name1> をわった結果の切り上げ
( <name3> + <name6> - 1 ) // <name6>	<name6> で <name3> を割った結果の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name2> で <name1> を割った結果の切り上げ
( <name3> + <name4> - 1 ) // <name4>	<name3> を <name4> で割った結果の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> で割った結果の切り上げ
( <name2> + <name1> - 1 ) // <name1>	<name2> を <name1> で割った結果の切り上げを算出する
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> で割った結果の切り上げを算出する
( <name2> + <name5> - 1 ) // <name5>	<name2> を <name5> でわった結果の切り上げを計算する
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> でわった結果の切り上げを計算する
( <name1> + <name5> - 1 ) // <name5>	<name5> で <name1> を割った結果の切り上げを計算する
( <name1> + <name2> - 1 ) // <name2>	<name2> で <name1> を割った結果の切り上げを計算する
( <name4> + <name5> - 1 ) // <name5>	<name5> で <name4> をわった結果の切り上げを算出する
( <name1> + <name2> - 1 ) // <name2>	<name2> で <name1> をわった結果の切り上げを算出する
( <name4> + <name1> - 1 ) // <name1>	<name4> 割る <name1> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> 割る <name2> を切り上げる
( <name1> + <name4> - 1 ) // <name4>	<name1> わる <name4> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> わる <name2> を切り上げる
( <name5> + <name2> - 1 ) // <name2>	<name5> 割る <name2> の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name1> 割る <name2> の切り上げ
( <name4> + <name1> - 1 ) // <name1>	<name4> わる <name1> の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name1> わる <name2> の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name1> 割る <name2> の切り上げを求める
( <name2> + <name4> - 1 ) // <name4>	<name2> わる <name4> の切り上げを算出する
( <name1> + <name2> - 1 ) // <name2>	<name1> わる <name2> の切り上げを算出する
( <name5> + <name2> - 1 ) // <name2>	<name5> を <name2> でわった値を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> でわった値を切り上げる
( <name3> + <name2> - 1 ) // <name2>	<name2> で <name3> をわった値を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name2> で <name1> をわった値を切り上げる
( <name6> + <name3> - 1 ) // <name3>	<name6> をわった値を <name3> で切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> をわった値を <name2> で切り上げる
( <name1> + <name5> - 1 ) // <name5>	わった値を <name5> で <name1> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	わった値を <name2> で <name1> を切り上げる
( <name4> + <name6> - 1 ) // <name6>	わった値を <name4> を <name6> で切り上げる
( <name1> + <name2> - 1 ) // <name2>	わった値を <name1> を <name2> で切り上げる
( <name3> + <name5> - 1 ) // <name5>	<name5> でわった値を <name3> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name2> でわった値を <name1> を切り上げる
( <name5> + <name2> - 1 ) // <name2>	<name5> を割った値を <name2> で切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> を割った値を <name2> で切り上げる
( <name5> + <name6> - 1 ) // <name6>	<name6> で割った値を <name5> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name2> で割った値を <name1> を切り上げる
( <name4> + <name3> - 1 ) // <name3>	割った値を <name3> で <name4> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	割った値を <name2> で <name1> を切り上げる
( <name6> + <name4> - 1 ) // <name4>	<name6> を <name4> で割った値を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> で割った値を切り上げる
( <name4> + <name3> - 1 ) // <name3>	<name3> で <name4> を割った値を切り上げる
