sum = 0	sumに0を代入する
sum = 0	sumを0とする
sum = 0	sumイコール0
sum = 0	sumイコール0とする
x = y	xにyを代入する
x = y	yをxに代入する
x + y	xにyを加えた値
x + y	xにyを加えた値を算出する
x + y	xプラスy
x + y	xたすyを計算する
x + y	xとyの和
x + y	xとyの和を算出する
x - y	xからyを引いた値
x - y	xからyを引いた値を求める
x - y	xマイナスy
x - y	x引くyを算出する
x - y	xとyの差
x - y	xとyの差を算出する
x * y	xにyをかけた値
x * y	xにyをかけた値を算出する
x * y	x掛けるy
x * y	xかけるyを計算する
x * y	xとyの積
x * y	xとyの積を求める
x / y	xをyでわった値
x / y	xをyでわった値を求める
x / y	xわるy
x / y	x割るyを求める
x / y	xとyの商
x / y	xとyの商を計算する
x / y	y分のx
x / y	y分のxを計算する
x // y	xをyでわった値の整数部分
x // y	xをyでわった値の整数部分を計算する
x ** 2	xの二乗
x ** 2	xの2乗を算出する
x % y	xをyで割った余り
x % y	xをyで割った余りを計算する
x % y	xをyで剰余
x % y	xをyで剰余を計算する
x % y	xとyのmod
x % y	xとyのmodを求める
x % y	xとyの割り算の余り
x % y	xとyの割り算の余りを算出する
(x + y - 1) // y	xをyで割った結果の切り上げ
(x + y - 1) // y	xをyでわった結果の切り上げを求める
(x + y - 1) // y	x割るyを切り上げる
(x + y - 1) // y	x割るyの切り上げ
(x + y - 1) // y	x割るyの切り上げを算出する
(x + y - 1) // y	xをyでわった値を切り上げる
x & y	xとyの論理積
x & y	xとyの論理積を算出する
x | y	xとyの論理和
x | y	xとyの論理和を計算する
x ^ y	aとyの排他的論理和
x ^ y	aとyの排他的論理和を計算する
x << y	xをyだけシフトした左シフト値
x << y	xをyだけシフトした左シフト値を求める
x >> y	xをyだけシフトした右シフト値
x >> y	xをyだけシフトした右シフト値を算出する
x += y	xをyだけ増加させる
x += y	xにyを足して代入する
x += y	xとyの値を足してxに代入する
x += y	xたすyの値をxに代入する
x -= y	xをyだけ減少させる
x -= y	xからyの値を引いてxに代入する
x -= y	xひくyの値をxに代入する
x *= y	xをy倍にする
x *= y	xにyをかけた値をxに代入する
x **= y	xをy乗する
x /= y	xをy分の一にする
x //= y	xをy分の一にする
x %= y	xをyで割った余りをxに代入する
abs(x)	xの絶対値
abs(x)	xの絶対値を計算する
complex(x)	xの複素数
complex(x)	xの複素数を計算する
complex(x, y)	xを実部yを虚部とした複素数
complex(x, y)	xを実部yを虚部とした複素数を求める
divmod(x, y)	xをyで割ったときの商と剰余の組
divmod(x, y)	xをyで割ったときの商とあまりの組を求める
divmod(x, y)	xとyの商と剰余の組
divmod(x, y)	xとyの商と剰余の組を求める
hash(x)	xのハッシュ値
hash(x)	xのハッシュ値を算出する
pow(x, y)	xのy乗
pow(x, y)	xのy乗を求める
pow(x, y, z)	xのy乗に対するzの剰余
pow(x, y, z)	xのy乗に対するzの剰余を計算する
pow(x, y, z)	xのy乗をzで割った余り
pow(x, y, z)	xのy乗をzで割った余りを算出する
round(x)	xの小数点を丸めた値
round(x)	xの小数点を丸めた値を計算する
