<name2> の符号を持った <name1> を求める	math . copysign ( <name1> , <name2> )	if math . copysign ( <name1> , <name2> ) :
<name5> が <name6> より小さくないかどうか	not <name5> < <name6>	not <name6> < <name5>
<name3> のコピー	<name3> [ : ]	[ <name3> ]
<name2> の逆双曲線余弦	math . acosh ( <name2> )	math . atanh ( <name2> )
<name1> を全て大文字に変換する	<name1> . upper ( )	<name1> . upper ( )
<name4> が <name2> 以上でないかどうか	not <name4> >= <name2>	not <name4> >= <name2>
<name2> の平方根を <name1> に代入する	<name1> = math . sqrt ( <name2> )	<name1> = math . sqrt ( <name2> )
ソートされた順序を保ったまま <name2> を <name1> に挿入できる位置	bisect . bisect_left ( <name1> , <name2> )	<name1> . sort ( <name2> )
空の集合を <name1> に代入する	<name1> = set ( )	set ( <name1> )
<name1> を <name2> で割った剰余を表示する	math . remainder ( <name1> , <name2> )	math . remainder ( <name1> , <name2> )
<name1> と <name6> の共通部分を求める	<name1> . intersection ( <name6> )	<name4> . <name6> ( <name1> )
<name1> と <name2> の差集合	<name1> . difference ( <name2> )	<name1> . difference ( <name2> )
<name5> から <name2> 個取り出した時の順列の総数を <name6> とする	<name6> = math . perm ( <name5> , <name2> )	math . perm ( <name5> , <name2> )
<name6> を全て大文字に変換した結果を <name2> とする	<name2> = <name6> . upper ( )	<name6> = <name2> . upper ( )
<name3> を整数に変換し、 <name2> にする	<name2> = int ( <name3> )	<name2> = int ( input ( ) )
2 を底とする <name6> の対数	math . log2 ( <name6> )	math . log2 ( <name6> )
<name1> の余弦をチェックする	math . cos ( <name1> )	math . cos ( <name1> )
<name1> を <name2> 分の一にする	<name1> /= <name2>	pow ( <name2> <name1> , <name1> )
<name2> を全て小文字に変換し、 <name1> に代入する	<name1> = <name2> . lower ( )	<name6> = <name1> . lower ( )
<name5> と <name3> のユークリッド距離を <name2> にする	<name2> = math . dist ( <name5> , <name3> )	math . dist ( <name5> , <name2> )
<name6> をリストに変換する	list ( <name6> )	float ( <name6> ) ]
<name1> 、 <name2> 、 <name3> の中で一番大きい値	max ( <name1> , <name2> , <name3> )	datetime max ( <name1> , <name2> , <name3> , <name1> , <name1> , <name3> )
<name2> を最も近い数値に切り上げ	math . ceil ( <name2> )	math . ceil ( <name2> ) // <name2>
<name3> のバイト列	<name3> . to_bytes ( )	os . prod ( <name1> )
<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して以降のプログラムをループする	for <name1> , <name2> in zip ( <name3> , <name4> ) :	if <name4> , <name1> , <name2> , <name3> = math . replace ( <name3> ) :
ユーザから入力を受け取る	input ( )	input ( )
空行を出力する	print ( )	set ( )
<name2> の余弦を <name1> にする	<name1> = math . cos ( <name2> )	<name1> = math . cos ( <name2> )
<name2> を区切り文字として <name1> を分割した結果をリスト型にして返す	<name1> . split ( <name2> )	<name1> . split ( <name2> )
<name3> が <name5> よりも小さいとき	if <name3> < <name5> :	if <name3> < <name5> :
<name3> の後ろから <val5> を探して見つかった位置	<name3> . rfind ( <val5> )	random . rfind ( <name3> )
<name3> と <name2> の最小公倍数を計算する	math . lcm ( <name3> , <name2> )	<name2> math . lcm ( <name3> , <name1> )
<name1> 内の大文字を小文字に変換する	<name1> . lower ( )	<name1> . upper ( )
<val1> ~ <name2> の範囲の <val3> つ飛ばしの数列	range ( <val1> , <name2> + <val1> , <val3> )	itertools . range ( <val1> , <name2> + <val1> )
<name6> から deque オブジェクトを作成した結果を <name5> とする	<name5> = collections . deque ( <name6> )	collections . deque ( <name5> )
<name3> の <name1> 番目から <name6> 番目の要素を得る	<name3> [ <name1> : <name6> ]	<name6> [ <name1> ]
もし <name6> が数字ならば	if <name6> . isdigit ( ) :	if <name6> . isnumeric ( ) :
原点からの ( <name1> , <name2> ) の距離を見る	math . hypot ( <name1> , <name2> )	math . hypot ( <name1> , <name2> )
<name3> を絶対値に直してソートする	sorted ( <name3> , key = abs )	min ( <name3> , key = abs )
<name2> において正規表現 <name1> のパターンが最初にマッチする位置	re . search ( <name1> , <name2> )	if <name1> . re ( <name2> ) :
<name1> と <name2> の差を算出する	<name1> - <name2>	complex <name1> ( <name2> )
<name2> の順列の総数を <name1> とする	<name1> = math . perm ( <name2> )	<name2> = math . perm ( <name1> )
<name2> 分の <name1> を計算する	<name1> / <name2>	pow <name1> ( <name2> )
<name1> の要素積を表示する	math . prod ( <name1> )	math . prod ( <name1> )
繰り返し処理を <val1> 回行う	for i in range ( <val1> ) :	while i in range ( <val1> ) :
もし <name1> が全て英数字のとき	if <name1> . isalnum ( ) :	if <name1> . islower ( ) :
<name1> の切り捨てを表示する	math . floor ( <name1> )	math . floor ( <name1> )
<val1> を一旦リターンする	yield <val1>	os . <val1> ( <val1> )
<name2> を <name1> にソート順で最後に挿入する	bisect . insort_right ( <name1> , <name2> )	if <name1> = <name2> . sort ( ) :
<name1> が <name2> よりも小さい間	while <name1> < <name2> :	while <name1> < <name2> :
もし <name6> が全て英数字のとき	if <name6> . isalnum ( ) :	if <name6> . islower ( ) :
<name4> が <val5> ならば	if <name4> == <val5> :	elif <name4> == <val5> :
整数値を受け取った結果を <name1> に代入する	<name1> = int ( input ( ) )	<name1> = int ( input ( ) )
ソートされた順序を保ったまま <name2> を <name1> に挿入できる最後の位置	bisect . bisect_right ( <name1> , <name2> )	sorted ( <name1> , <name2> ) . sort ( )
<name4> の終わりから空白改行を取り除いた文字列	<name4> . rstrip ( )	<name4> . split ( )
<name5> の階乗を調べる	math . factorial ( <name5> )	pow ( <name5> )
<name2> の最後から空白改行を取り除いた文字列を <name1> に代入する	<name1> = <name2> . rstrip ( )	<name1> = <name2> . lstrip ( )
<name6> と <name5> の商を計算する	<name6> / <name5>	complex ( <name6> , <name5> )
<name1> の逆正弦をチェックする	math . asin ( <name1> )	float ( math . atan ( <name1> )
<name1> を全て小文字に変換する	<name1> . lower ( )	<name1> . lower ( )
<name1> の両端から <val2> を取り除いた文字列	<name1> . strip ( <val2> )	itertools . split ( <name1> )
ユーザが入力したデータをリストに変換する	list ( input ( ) )	= list ( input ( ) )
<name4> の逆双曲線正接	math . atanh ( <name4> )	math . atanh ( <name4> )
<name6> の要素積を算出する	math . prod ( <name6> )	math . prod ( <name6> )
<name3> が無限大かどうか	math . isinf ( <name3> )	while math . isinf ( <name3> )
<name3> の両端から <val6> を抜いた文字列を <name2> にする	<name2> = <name3> . strip ( <val6> )	<name6> = <name2> . strip ( <name3> )
<name4> の逆余弦	math . acos ( <name4> )	math . cos ( <name4> )
<name1> が <name5> 以上かどうか	<name1> >= <name5>	>= <name1> >= <name5>
<name2> を区切り文字として <name1> を最後から分割してリスト型にして返す	<name1> . rsplit ( <name2> )	<name1> . rsplit ( <name2> )
2 を底とする <name1> の対数	math . log2 ( <name1> )	math . log2 ( <name1> )
<name1> を <name2> で割った剰余を算出する	math . remainder ( <name1> , <name2> )	pow ( <name1> , <name2> )
<val4> から 100 までの数が並んだリスト	[ i for i in range ( <val4> , 101 ) ]	[ i i for i for range in range ( <val2> ) ] ]
<name1> が全て ASCII 文字かどうか	<name1> . isascii ( )	<name1> . isalnum ( )
<name1> と <name2> の商	<name1> / <name2>	complex <name1> ( <name2> )
<name2> が <name3> で始まるなら	if <name2> . startswith ( <name3> ) :	if <name2> . startswith ( <name3> ) :
<name3> に <name4> をかけた値を算出する	<name3> * <name4>	// <name3> <name4>
<name2> に <name1> をかけた値	<name2> * <name1>	complex <name1> ( <name2> )
<name1> が <name2> と等しくないなら	if <name1> != <name2> :	not <name1> != <name2> :
<name2> のタンジェントを <name1> とする	<name1> = math . tan ( <name2> )	<name1> = math . tan ( <name2> )
<name2> の後ろが <name3> で終わるかどうか	<name2> . endswith ( <name3> )	<name3> . endswith ( <name2> )
<val2> 区切りで <name1> をプリントする	print ( <name1> , sep = <val2> )	round ( <name1> , <val2> )
<name1> を最も近い整数に切り捨て	math . floor ( <name1> )	math . floor ( <name1> )
<name1> の <name2> 乗を <name3> で割った余りを算出する	pow ( <name1> , <name2> , <name3> )	pow ( <name1> , <name2> , <name3> )
<name2> を長さが <name3> になるように左を '0' で埋めた文字列	<name2> . zfill ( <name3> )	<name4> = <name6> . zfill ( <name2> )
<name2> の双曲線余弦を <name1> にする	<name1> = math . cosh ( <name2> )	<name1> = math . cosh ( <name2> )
<name1> を末尾から <name2> で最大分割数 <val5> まで分割してリストを返す	<name1> . rsplit ( <name2> , <val5> )	<name6> . rsplit ( <name1> , <name2> )
<name2> をリスト型として取得して、 <name1> にする	<name1> = list ( <name2> )	<name4> = list ( <name1> )
<name1> のタイプ	type ( <name1> )	len ( <name1> )
<name2> を非ローカル変数とする	nonlocal <name2>	True <name2> :
<name1> に最も近い数値に切り上げ	math . ceil ( <name1> )	if math . ceil ( <name6> ) :
<name1> と <name2> が等しいかどうか	<name1> == <name2>	<name2> == <name1>
<name2> の <name3> 乗を求める	pow ( <name2> , <name3> )	pow ( <name2> , <name3> )
<name2> 引く <name6> を算出する	<name2> - <name6>	pow ( <name2> , <name1> )
もし <name1> が <name2> の倍数ならば	if <name1> % <name2> == 0 :	except <name1> == <name2> :
<name1> が <name2> の部分集合かどうか	<name1> . issubset ( <name2> )	<name1> . issubset ( <name2> )
改行を表示する	print ( )	round ( <name5> )
<name1> の正接を算出する	math . tan ( <name1> )	math . tan ( <name1> )
入力された整数値を <name1> とする	<name1> = int ( input ( ) )	<name1> = int ( input ( ) )
<name1> からランダムに要素を <val2> つチョイスする	random . sample ( <name1> , <val2> )	for <name1> in range ( <val2> ) :
<name2> と <name3> の差を算出する	<name2> - <name3>	math . <name2> ( <name2> )
<val1> から <name2> の範囲で <val3> つずつ増える数列	range ( <val1> , <name2> + <val1> , <val3> )	pow ( <val1> , <name2> + <val3> , <val3> )
<name2> を区切り文字として <name3> を末尾から分割してリスト型にして返して、 <name4> にする	<name4> = <name3> . rsplit ( <name2> )	<name2> = <name4> . rsplit ( <name3> )
もし <name2> が <name1> で割り切れるならば	if <name2> % <name1> == 0 :	while <name1> % <name2> == 0 :
<name1> の <name2> 乗を <name3> で割った余り	pow ( <name1> , <name2> , <name3> )	pow ( <name1> , <name2> , <name3> )
<name2> を <name3> で最大分割数 <val4> まで分割してリストを返して、 <name1> にする	<name1> = <name2> . split ( <name3> , <val4> )	<name3> = <name1> . split ( <name1> , <val4> )
<name2> から <name3> 個取り出した時の順列の総数を <name1> とする	<name1> = math . perm ( <name2> , <name3> )	math . perm ( <name1> , <name2> )
<name6> が正規表現 <name3> のパターンにマッチした文字列のリスト	re . findall ( <name3> , <name6> )	<name6> . split ( <name3> , <name6> )
<name4> の階乗を <name1> にする	<name1> = math . factorial ( <name4> )	<name1> = math . exp ( <name4> )
<name6> を区切り文字、最大分割数を <val1> として <name3> を分割した結果をリスト型にして返す	<name3> . split ( <name6> , <val1> )	<name4> <name6> . split ( <name6> )
<name5> と <name3> の積	<name5> * <name3>	math <name5> . hypot ( <name3> , <name5> )
<name2> 、 <name3> 、 <name6> の最小値を求める	min ( <name2> , <name3> , <name6> )	range ( <name6> , <name2> , <name3> )
<name1> ではなくない	not not <name1>	while not <name1> :
<name1> 、 <name2> 、 <name3> の最大値	max ( <name1> , <name2> , <name3> )	min ( <name3> , <name1> , <name2> )
もし <name1> が <name2> 以上の場合	if <name1> >= <name2> :	if <name1> >= <name2> >= :
<name1> 内の要素を連結した文字列を <name2> とする	<name2> = '' . join ( <name1> )	<name1> = '' . join ( <name2> )
<name6> と <name2> の論理和を計算する	<name6> | <name2>	pow ( <name6> , <name2> )
<name2> を展開してプリントする	print ( * <name2> )	'' . print ( <name2> )
1 + <name1> の自然対数を見る	math . log1p ( <name1> )	math . log1p ( <name1> )
<name2> の仮数と指数	math . frexp ( <name2> )	math . frexp ( <name2> )
<name1> を降順にソートする	<name1> . sort ( reverse = True )	<name1> . sort ( reverse = True )
<name1> のガンマ関数の絶対値の自然対数を見る	math . lgamma ( <name1> )	math . lgamma ( <name1> )
<name1> を絶対値に直してソートする	sorted ( <name1> , key = abs )	min ( <name1> , key = abs )
<name1> の逆双曲線正弦	math . asinh ( <name1> )	math . asinh ( <name1> )
どれでもなければ	else	round ( <name5> ) :
もし <name1> 中の全ての英字が大文字ならば	if <name1> . isupper ( ) :	if <name1> . isupper ( ) :
1 + <name6> の自然対数を計算する	math . log1p ( <name6> )	math . log1p ( <name6> )
<name5> かける <name2> を計算する	<name5> * <name2>	<name2> == <name5>
<name1> のうち <val2> 個までの順列	itertools . permutations ( <name1> , <val2> )	math . perm ( <name1> , <val2> )
ユーザが入力した整数値をスペースで区切ってリストとして受け取られた結果を <name2> にする	<name2> = list ( map ( int , input ( ) . split ( ) ) )	list ( <name2> , input ( ) . split ( )
もし <name1> が <name2> より小さくないとき	if not <name1> < <name2> :	except <name1> < <name2> :
<name2> が正規表現 <name1> のパターンにマッチした文字列のリスト	re . findall ( <name1> , <name2> )	re . split ( <name1> , <name2> )
<name5> の両端から空白改行を除いた文字列	<name5> . strip ( )	<name5> . strip ( )
<val2> 以上 <val3> 未満の数が並んだリストを <name1> とする	<name1> = [ i for i in range ( <val2> , <val3> ) ]	for <name1> = range ( <val2> ) ]
<name1> を <name2> で割った結果の切り上げ	( <name1> + <name2> - 1 ) // <name2>	math . ceil ( <name1> , <name2> ) // <name2>
<name2> の最後から空白改行を取り除いた文字列を <name3> に代入する	<name3> = <name2> . rstrip ( )	<name4> = <name2> . lstrip ( )
<name1> を <name3> でわった値を求める	<name1> / <name3>	min ( <name3> <name1> , <name1> )
<name2> の辞書カウンタを <name1> とする	<name1> = collections . Counter ( <name2> )	<name4> = math . <name1> ( <name1> )
無限大を確認する	math . inf	locals
<name6> の最初を <val1> で拡張する	<name6> . appendleft ( <val1> )	for <name6> in range ( <name6> ) :
バイト列 <name6> からの整数値	<name6> . from_bytes ( )	int ( <name6> )
<name1> の逆余弦を計算する	math . acos ( <name1> )	math . acos ( <name1> )
<val2> を間に入れて <name3> 内の値を連結した文字列を <name1> とする	<name1> = <val2> . join ( <name3> )	<name6> = <name1> . join ( <val2> )
<name6> から <name1> を引いた値を求める	<name6> - <name1>	max <name6> ( <name1> )
もし <name1> が英大文字のとき	if <name1> . isupper ( ) :	except <name1> . isupper ( ) :
もし <name3> が偶数の場合	if <name3> % 2 == 0 :	pow ( <name3> ) :
<name1> 、 <name2> 、 <name3> の最小値を求める	min ( <name1> , <name2> , <name3> )	min ( <name3> , <name1> , <name2> )
<name4> を降順にして、 <name3> とする	<name3> = <name4> . reverse ( )	<name5> = <name4> . split ( <name4> )
<name1> を <name2> で割った剰余	math . remainder ( <name1> , <name2> )	math . remainder ( <name1> , <name2> )
<name3> が <val4> 未満または <val6> 以上ならば	if <name3> < <val4> or <name3> >= <val6> :	for <name3> in range ( <val4> , <val4> ) :
<name2> の正弦を <name1> に代入する	<name1> = math . sin ( <name2> )	<name1> = math . sin ( <name2> )
<name1> と <name2> の割り算の余りを算出する	<name1> % <name2>	divmod <name1> ( <name2> , <name1> )
<name5> 内の小文字を大文字に変換して、 <name1> とする	<name1> = <name5> . upper ( )	<name4> = <name1> . upper ( )
