<name1> 中の英字全てが小文字かどうか	<name1> . islower ( )	<name1> . islower ( )
リスト <name2> を小さい順に並べた結果を <name1> とする	<name1> = <name2> . sort ( )	<name2> = <name1> . sort ( )
<name1> からランダムに値をチョイス置き換える	random . choice ( <name1> )	. choice ( <name1> )
半角スペースを区切り文字に設定して <name2> を分割した結果をリスト型にして返した結果を <name1> に代入する	<name1> = <name2> . split ( )	<name2> = <name1> . split ( )
以降のプログラムを <name1> の要素数分ループ置き換える	for i in range ( len ( <name1> ) ) :	for i in range ( len ( <name1> ) ) :
<name2> を末尾から <name3> で分割してリストを返された結果を <name6> にする	<name6> = <name2> . rsplit ( <name3> )	<name6> = <name2> . rsplit ( <name3> )
入力された整数値を半角スペースごとに受け取り <name1> 、 <name2> 、 <name3> と直す	<name1> , <name2> , <name3> = map ( int , input ( ) . split ( ) )	<name1> , <name2> , <name3> = map ( int , input ( ) . split ( ) )
ユーザが入力したデータをリストに変換し、 <name6> に代入する	<name6> = list ( input ( ) )	<name6> = list ( input ( ) )
<name2> リストの要素がどれかは真かどうか	any ( <name2> )	any ( <name2> )
半角スペースを区切り文字として <name2> 文字列を分割した結果をリストにして返した結果を <name1> にする	<name1> = <name2> . split ( )	<name2> = <name1> . split ( )
<name1> の仮数と指数	math . frexp ( <name1> )	math . frexp ( <name1> )
<name3> の最初から空白改行を除いたデータ	<name3> . lstrip ( )	<name3> . lstrip ( )
半角スペースごとに入力された複数の整数をリストとして得られた結果を <name4> に代入する	<name4> = list ( map ( int , input ( ) . split ( ) ) )	<name4> = list ( map ( int , input ( ) . split ( ) ) )
<name3> 文字列内の <val5> がある後ろ側の位置	<name3> . rfind ( <val5> )	<val5> <name3> . rfind ( <val5> )
<name1> 文字列の両端から空白改行を抜いたデータを <name3> に代入する	<name3> = <name1> . strip ( )	<name3> = <name1> . strip ( )
<val1> を <val2> で割った商	<val1> // <val2>	<val1> // <val2>
<name1> の角度を表示する	math . degrees ( <name1> )	os . degrees ( <name1> )
整数に <name4> を置き換える	int ( <name4> )	float ( <name4> )
スペースを区切り文字に設定して文字列 <name1> を分割した結果をリストにして返し、 <name2> にする	<name2> = <name1> . split ( )	<name2> = <name1> . split ( )
区切り文字として文字列 <name5> を <name1> を最後から分割してリスト型にして返し、 <name6> にする	<name6> = <name5> . rsplit ( <name1> )	<name5> = <name6> . rsplit ( <name1> )
<name4> を区切り文字として <name5> を分割した結果をリストにして返す	<name5> . split ( <name4> )	<name5> . split ( <name4> )
<name3> を区切り文字、最大分割数を <val5> として文字列 <name6> を分割した結果をリスト型にして返された結果を <name1> にする	<name1> = <name6> . split ( <name3> , <val5> )	<name1> = <name6> . split ( <name3> , <val5> )
<name2> を逆順に直した結果を <name1> とする	<name1> = <name2> . reverse ( )	<name2> = <name1> . reverse ( )
リスト <name1> の終わりに <name2> を加える	<name1> . append ( <name2> )	<name2> . append ( <name1> )
<name1> リストの最後に <name2> をアペンド置き換える	<name1> . append ( <name2> )	<name2> . append ( <name1> )
<name2> を最後から半角スペースで分割してリストを返された結果を <name1> にする	<name1> = <name2> . rsplit ( )	<name2> = <name1> . rsplit ( )
<name4> 値が全て数字なら	if <name4> . isnumeric ( ) :	if <name4> . isdecimal ( ) :
ユーザから入力された値をリスト化置き換えられた結果を <name1> とする	<name1> = list ( input ( ) )	<name1> = list ( input ( ) )
d 辞書にキー <name1> が存在しないかどうか	<name1> not in date	not <name1> in date
<name1> の 2 進数文字列	bin ( <name1> )	str ( <name1> )
次の命令を <val1> 回ループ置き換える	for i in range ( <val1> ) :	for i in range ( <val1> ) :
<name2> 文字列の末尾から空白改行を除いたデータを <name1> とする	<name1> = <name2> . rstrip ( )	<name2> = <name1> . rstrip ( )
空白を区切り文字に設定して <name1> 文字列を分割した結果をリスト型にして返す	<name1> . split ( )	<name1> . split ( )
<name1> 文字列の最初を英大文字、残りを全て英小文字にした文字列	<name1> . capitalize ( )	<name1> . capitalize ( )
<name2> を最後から <name3> で分割した文字列のリストを <name1> に代入する	<name1> = <name2> . rsplit ( <name3> )	<name1> = <name2> . rsplit ( <name3> )
<name1> を小さい順に並べ変え、 <name6> とする	<name6> = <name1> . sort ( )	<name6> = <name1> . sort ( )
<name3> を区切り文字、最大分割数を <val4> として <name2> を最後から分割してリストにして返した結果を <name1> に代入する	<name1> = <name2> . rsplit ( <name3> , <val4> )	<name5> = <name1> . rsplit ( <name2> , <val4> )
文字列 <name4> の <val6> 番目から <val5> を後ろから探して見つかった位置を <name1> に代入する	<name1> = <name4> . rfind ( <val5> , <val6> )	<name4> = <name1> . rfind ( <val6> , <val5> )
<name1> リストからランダムに値をチョイスする	random . choice ( <name1> )	random . choice ( <name1> )
<name4> リストのセットを <name2> に代入する	<name2> = set ( <name4> )	<name4> = set ( <name2> )
<name3> を区切り文字、最大分割数を <val4> に設定して <name5> 文字列を末尾から分割してリストにして返した結果を <name1> とする	<name1> = <name5> . rsplit ( <name3> , <val4> )	<name5> = <name1> . rsplit ( <name3> , <val4> )
区切り文字として <name2> 文字列を <name3> を最後から分割してリストにして返した結果を <name1> にする	<name1> = <name2> . rsplit ( <name3> )	<name2> = <name1> . rsplit ( <name3> )
<name3> リストからランダムに要素を <val2> つチョイス直す	random . sample ( <name3> , <val2> )	<name3> . sample ( <name6> , <val2> )
間に入れて <name3> リストの中の値を <val2> を連結した値を <name1> にする	<name1> = <val2> . join ( <name3> )	<name1> = <val2> . join ( <name3> )
スペースで区切って入力文字列を受け取り <name6> 、 <name4> 、 <name3> と置き換える	<name6> , <name4> , <name3> = input ( ) . split ( )	<name6> , <name3> , <name4> = input ( ) . split ( )
<name4> 文字列を終わりから <name1> で分割したデータのリスト	<name4> . rsplit ( <name1> )	<name4> . rsplit ( <name1> )
<name1> 足す <name2> を求める	<name1> + <name2>	<name6> + <name2>
<val1> 未満までの整数乱数	random . randrange ( <val1> )	collections . randrange ( <val1> )
<name1> のコピー	<name1> [ : ]	<name1> . copy ( )
<name3> を区切り文字に指定して文字列 <name2> を分割した結果をリスト型にされた結果を <name1> とする	<name1> = <name2> . split ( <name3> )	<name1> = <name2> . split ( <name3> )
文字列 <name1> の最初を英大文字、残りを全て英小文字にした文字列	<name1> . capitalize ( )	<name1> . capitalize ( )
セット <name3> と集合 <name1> の積集合を抽出する	<name3> . intersection ( <name1> )	<name1> . intersection ( <name3> )
終わりから <name3> で文字列 <name2> を最大分割数 <val4> まで分割してリストを返し、 <name1> とする	<name1> = <name2> . rsplit ( <name3> , <val4> )	<name5> = <name1> . rsplit ( <name2> , <val4> )
文字列 <name1> の終わりが <name2> であるかどうか	<name1> . endswith ( <name2> )	<name1> . endswith ( <name2> )
<val1> を入れて <name2> 内の要素を間に連結した文字列	<val1> . join ( <name2> )	<val1> . join ( <name2> )
<name6> が正規表現 <name1> のパターンにマッチしたデータのリスト	re . findall ( <name1> , <name6> )	re . findall ( <name6> , <name1> )
値 <val3> を <val1> 回繰り返す	<val3> * <val1>	<val1> * <val3>
<name1> が <name4> と等しい間	while <name1> == <name4> :	elif <name1> == <name4> :
リスト <name1> 内の値を連結した値	'' . join ( <name1> )	<val4> . join ( <name1> )
<name3> 文字列を長さが <name5> になるように '0' で右寄せした値	<name3> . zfill ( <name5> )	<name5> . zfill ( <name3> )
<name3> のインデックスを <name1> 、要素を <name2> へ順番に代入して以下の処理をループ置き換える	for <name1> , <name2> in enumerate ( <name3> ) :	for <name1> , <name2> in enumerate ( <name3> ) :
<name6> をリストにされた結果を <name5> に代入する	<name5> = list ( <name6> )	divmod ( <name6> , <name5> )
<name5> のインデックスを <name2> 、要素を <name4> へ順に代入して以降のプログラムを回す	for <name2> , <name4> in enumerate ( <name5> ) :	for <name2> , <name4> in enumerate ( <name5> ) :
<name6> の終わりから要素を取り出す	<name6> . pop ( )	<name3> . pop ( <name6> )
ユーザから入力された値をリストに入れた結果を <name1> にする	<name1> = list ( input ( ) )	<name1> = list ( input ( ) )
<name3> の先頭を英大文字、残りを全て英小文字に変換した値	<name3> . capitalize ( )	<name3> . capitalize ( )
リスト <name1> にリスト <name2> を展開して追加する	<name1> . extend ( <name2> )	<name2> . extend ( <name1> )
<name5> を区切り文字、最大分割数を <val4> に設定して <name6> 文字列を最後から分割してリスト型にして返して、 <name1> にする	<name1> = <name6> . rsplit ( <name5> , <val4> )	<name1> = <name6> . rsplit ( <name5> , <val4> )
