<name3> を <name2> を <val5> で割った商の階乗分の一にする	<name3> // = factorial ( <name2> // <val5> )	<name3> // = factorial ( <name2> // <val5> )
入力された文字列を空白で分割した字句列の各要素に <name3> をパラメータとして <name3> の整数値を返す関数を適用した列のリストを <name1> とする	<name1> = list ( map ( lambda <name3> : int ( <name3> ) , input ( ) . split ( ) ) )	<name1> = list ( map ( lambda <name3> : int ( <name3> ) , input ( ) . split ( ) ) )
( <name2> 、 <name6> ) の組が ( <name4> 、 <name3> ) の組と等しいとき、	if ( <name2> , <name6> ) == ( <name4> , <name3> ) :	continue ( <name2> , <name6> ) == ( <name4> , <name3> ) :
入力された文字列を空白で分割した字句列を展開し、それぞれ <name4> 、 <name3> 、 <name5> とする	<name4> , <name3> , <name5> = input ( ) . split ( )	str , <name3> , <name5> = input ( ) . split ( )
<name1> の <name4> の末尾に ( <name3> 、 <name5> ) の組を追加する	<name1> . <name4> . append ( ( <name3> , <name5> ) )	<name2> . <name4> . append ( ( <name3> , <name5> ) )
<name3> の <name6> に <name2> の <name4> 番目を掛けた値に <name5> の <name4> 番目を加えた値から、つまり末尾までの部分列を <val1> だけ増加させる	<name3> [ <name6> * <name2> [ <name4> ] + <name5> [ <name4> ] : ] += <val1>	<name5> [ <name3> [ <name6> * <name2> [ <name4> ] + <name5> [ <name4> ] : ] += <val1>
<name2> ( <name6> , ( <name1> , <name3> , <val4> ) )	<name2> ( <name6> , ( <name1> , <name3> , <val4> ) )	set ( <name2> ( <name6> , ( <name1> , <name3> , <val4> ) ) )
<name3> の末尾に <name2> . <name5> ( <name6> , <name1> ) のとき <name2> . <name4> ( <name6> , <name1> ) 、そうでなければ <val3> を追加する	<name3> . append ( <name2> . <name4> ( <name6> , <name1> ) if <name2> . <name5> ( <name6> , <name1> ) else <val3> )	<name1> . append ( <name2> . <name4> ( <name6> , <name1> ) if <name2> . <name5> ( <name6> , <name1> ) else <val3> )
{ 0 : . 6 f }を書式として <name4> で整形した文字列を出力する	print ( '{0:.6f}' . format ( <name4> ) )	range ( <val6> . format ( <name4> ) )
<name3> の <name1> の間、次を繰り返す	while <name3> . <name1> :	for <name3> . <name1> in <name3> . <name1> :
<name3> の <name4> 番目と <name3> の <name4> から <val1> を引いた値番目を入れ替える	<name3> [ <name4> ] , <name3> [ <name4> - <val1> ] = <name3> [ <name4> - <val1> ] , <name3> [ <name4> ]	<name4> [ <name4> ] , <name3> [ <name4> - <val1> ] = <name3> [ <name4> - <val1> ] , <name3> [ <name4> ]
<name4> を追加して <name3> を拡張する	<name3> . extend ( <name4> )	<name3> . extend ( <name4> )
<name5> の <val4> 番目の末尾に <name3> を追加する	<name5> [ <val4> ] . append ( <name3> )	<name2> [ <val4> ] . append ( <name3> )
<name1> の <val5> 番目が <name3> から <name6> を引いた値から <val2> を引いた値に <name1> の <val2> 番目を加えた値より大きいとき、	if <name1> [ <val5> ] > ( <name3> - <name6> - <val2> ) + <name1> [ <val2> ] :	if <name1> [ <val5> ] > <name3> - <name6> - <val2> + <name1> [ <val2> ] :
<name2> の <name1> の <name6> から <val3> を引いた値番目に <name2> の <name5> の <name4> から <val3> を引いた値番目を掛けた値に <name2> の <name5> の <name6> から <name4> を引いた値番目を掛けた値を返す	return <name2> . <name1> [ <name6> - <val3> ] * <name2> . <name5> [ <name4> - <val3> ] * <name2> . <name5> [ <name6> - <name4> ]	x return <name2> . <name1> [ <name6> - <val3> ] * <name2> . <name5> [ <name4> - <val3> ] * <name2> . <name5> [ <name6> - <name4> ]
<name3> . <name5> . <name6> ( <name1> )	<name3> . <name5> . <name6> ( <name1> )	<name3> . <name5> . <name6> ( <name1> )
<val4> から <val1> 未満までの数列を順に <name6> として、繰り返す	for <name6> in range ( <val4> , <val1> ) :	continue for <name6> in range ( <val4> , <val1> ) :
<name3> の <name1> から読み込んだデータを英小文字に変換した文字列を <name6> とする	<name6> = <name3> . <name1> . read ( ) . lower ( )	<name2> = <name3> . <name1> . read ( ) . lower ( )
<name4> を <name5> に <name3> を加えた値だけ増加させる	<name4> += <name5> + <name3>	<name4> += ( <name5> + <name3> )
<name4> . <name5> ( ) を順に <name3> として、繰り返す	for <name3> in <name4> . <name5> ( ) :	for <name3> in <name4> . <name5> ( ) :
<name3> 、 <name1> 、 <name6> 、 <name4> から <name2> を引いた値、 <name5> から <name4> を引いた値の最小値の最大値を <name3> とする	<name3> = max ( <name3> , min ( <name1> , <name6> , <name4> - <name2> , <name5> - <name4> ) )	else = max ( <name3> , min ( <name1> , <name6> , <name4> - <name2> , <name5> - <name4> ) )
<name3> の整数値を <name1> とする	<name1> = int ( <name3> )	( <name1> = int ( <name3> ) )
<name5> の <name4> 番目の <val2> 番目の整数値を <name6> とする	<name6> = int ( <name5> [ <name4> ] [ <val2> ] )	<name6> = int ( <name5> [ <name4> ] [ <val2> ] )
<name5> の <name1> 番目の <name6> 番目が、つまり未定値と等しいとき、	if <name5> [ <name1> ] [ <name6> ] is not None :	if <name5> [ <name1> ] [ <name6> ] == None :
<name6> . <name4> ( <val1> * <name3> , <val1> * <name3> + <val2> , <name3> ) を <name5> とする	<name5> = <name6> . <name4> ( <val1> * <name3> , <val1> * <name3> + <val2> , <name3> )	<name5> = <name6> . <name4> ( <val1> * <name3> , <val1> * <name3> + <val2> , <name3> )
<name1> に <val3> を加えた値を <val4> で割った余りを <name1> とする	<name1> = ( <name1> + <val3> ) % <val4>	<name1> = ( <name1> + <val3> ) % <val4>
<name3> 、 <name1> の総和から <name3> 、 <name4> から <val6> を引いた値の総和を引いた値を出力する	print ( <name3> . sum ( <name1> ) - <name3> . sum ( <name4> - <val6> ) )	range ( <name3> . sum ( <name1> ) - <name3> . sum ( <name4> - <val6> ) )
