<name1> の最後の 5 行を表示する	<name1> . tail ( )	<name1> . tail ( )
グラフのタイトルを <val6> とする。	plt . title ( <val6> )	plt . title ( <val6> )
<name1> の <val2> 列が <val3> より大きければ <val4> に置換し、上 5 行を表示する	pd . DataFrame ( <name1> [ <val2> ] . mask ( <name1> [ <val2> ] > <val3> , <val4> ) ) . head ( )	<name3> [ <name1> [ <val2> , <val3> , <val4> ] ] ] . head ( )
<name4> を <name2> と名前を付けてインポート	import <name4> as <name2>	import <name4> as <name2>
<name1> の <val2> 列と <val3> 列の上 5 行を表示する	<name1> [ [ <val2> , <val3> ] ] . head ( )	<name5> [ [ <val2> , <val3> ] ] ] . head ( )
複数のグラフを <val3> つにまとめて表示して、これは <val2> 行 <val3> 列の <val3> 番目の位置にプロットする	plt . subplot ( <val2> , <val3> , <val3> )	subplot . subplot ( <val3> , <val2> , <val3> )
<name6> <name1> を <name2> としてインポートする	import <name6> <name1> as <name2>	<name1> import <name6> as <name2>
列 <val3> , 列 <val6> , 列 <val4> , 列 <val1> , 列 <val5> を全てダミー化したものを <name2> とする	<name2> = pd . get_dummies ( df , columns = [ <val3> , <val6> , <val4> , <val1> , <val5> ] )	<name4> = pd . get_dummies ( <name2> , columns = [ <val3> , <val1> , <val5> , <val5> , <val6> ] )
<name1> の <val2> 列を <val3> 列とする	<name1> . rename ( columns = { <val2> : <val3> } , inplace = True )	<name4> [ [ <val2> , <val3> ] ] ]
<name3> について、列 <val4> の値ごとに <val2> の数をカウント	<name3> . groupby ( [ <val4> ] ) [ <val2> ] . count ( )	<name6> . groupby ( [ <val2> ] ) [ <val3> ] . count ( )
<name1> の 'wether' 列の値をカウントする	<name1> [ 'weather' ] . value_counts ( )	<name4> . groupby ( ) [ 'sales' ] . count ( )
ラベルを <val4> として、 <name3> と <name6> の値からプロット	plt . plot ( <name3> , <name6> , label = <val4> )	plt . plot ( <name6> , <name3> , color = ( <val4> ) )
<name6> の欠損値が含まれている行を抽出し、その列数と行数を確認する	<name6> [ <name6> . isnull ( ) . any ( axis = 1 ) ] . shape	<name3> [ <name6> ] . any ( ) . any ( axis = 1 )
<name1> の列 <val2> に存在する値を重複を省いて取得	<name1> [ <val2> ] . unique ( )	from <name1> [ <val2> ] ] . mean ( )
<name1> の 'paypay' 列に含まれる欠損値を <val2> に置き換える	<name1> . fillna ( value = { 'payday' : <val2> } , inplace = True )	<name1> . rename ( [ <val2> ] ) . sum ( )
weather 'を軸に' temperature 'の平均値を求める。	df . groupby ( [ 'weather' ] ) [ 'temperature' ] . mean ( )	<name6> . groupby ( [ 'sales' ] ) . mean ( [ 'sales' ] . mean ( )
<name1> に含まれる欠損値の有無を行ごとに判定し、初めの５行について結果を表示	<name1> [ <name1> . isnull ( ) . any ( axis = 1 ) ] . head ( )	<name3> [ <name1> . isnull ( ) . any ( axis = 1 ) ] . head ( )
<name1> の <val2> 列が <val3> より大きいものを抽出する	<name1> [ <name1> [ <val2> ] > <val3> ]	<name3> [ <name1> [ <val2> ] > <val3> ]
<name1> <name2> を参照し、年月日をハイフン区切りの形式に変更する。	<name1> <name2> = pd . to_datetime ( <name1> <name2> , format = '%Y-%m-%d' )	import <name1> as <name2> as <name2>
<name1> のうち、列 <val6> , <val2> , <val5> に１つでも欠損値がある行は削除	<name1> . dropna ( subset = [ <val6> , <val2> , <val5> ] , axis = 0 , inplace = True )	<name1> . dropna ( subset = [ <val2> , <val3> , <val5> ] , axis , inplace = True )
<name2> の下 5 行を表示する	<name2> . tail ( )	<name2> . head ( )
グラフのタイトルを <val1> とする。	plt . title ( <val1> )	plt . title ( <val1> )
<name1> の列 <val2> を降順で並び替え、最初の５行を表示	<name1> . sort_values ( by = <val2> , ascending = True ) . head ( )	<name1> . sort_values ( by = <val2> , ascending = True ) . head ( )
