<name1> の <val2> 行目をドロップし、 <name1> にする	<name1> = <name1> . drop ( <val2> )	drop <name1> = <name1> . drop ( <val2> )
<name1> データフレーム中の NaN を <name1> データフレームの平均で補い、 <name1> とする	<name1> = <name1> . fillna ( <name1> . mean ( ) )	<name1> = <name1> . fillna ( <name1> . mean ( ) )
<name5> 中の未記入の値を <name2> で置き換えられた結果を再代入する	<name5> = <name5> . fillna ( <name2> )	<name2> = <name5> . fillna ( <name3> )
データフレーム <name3> のカラム <val5> とカラム <val2> とカラム <val6> の箱ひげ図を一枚のグラフで描写する	plt . boxplot ( [ <name3> [ <val5> ] , <name3> [ <val2> ] , <name3> [ <val6> ] ] )	sns . boxplot ( [ <name3> [ <val6> ] , <name3> [ <val2> ] , <name3> [ <val5> ] ] )
<name2> の <val1> をビン数を <name6> として分割する	pd . cut ( <name2> [ <val1> ] , <name6> )	cut pd . cut ( <name2> [ <val1> ] , <name6> )
<val6> カラムと <val5> 列を軸に <name2> データフレームを逆順でソートして、 <name2> とする	<name2> = <name2> . sort_values ( [ <val6> , <val5> ] , ascending = False )	<name2> = <name2> . sort_values ( [ <val6> , <val5> ] , ascending = False )
<name5> のインデックスをリセットを再代入する	<name5> = <name5> . reset_index ( )	kind = <name5> . reset_index ( )
データフレーム <name1> をカラム <val6> と列 <val4> に基づいて降順でソートして、書き換える	<name1> . sort_values ( [ <val6> , <val4> ] , ascending = False , inplace = True )	<name1> . sort_values ( [ <val6> , <val4> ] , ascending = False , inplace = True )
<name4> 全体をインデックスを元に昇順でソートした結果を <name4> にする	<name4> = <name4> . sort_index ( )	<name4> . sort_index ( inplace = True )
CSV <val4> から表データを読み、 <name1> とする	<name1> = pd . read_csv ( <val4> )	<name1> = pd . read_csv ( <val4> )
昇順に <val2> コラムで <name5> データフレーム全体をソートした結果を <name1> にする	<name1> = <name5> . sort_values ( <val2> )	<name5> = <name1> . sort_values ( <val2> )
<name3> を <val1> というファイル名でエクセル形式に書き込む	<name3> . to_excel ( <val1> )	<name3> . to_excel ( <val1> )
<val1> を <val5> 区切りで読む	pd . read_csv ( <val1> , sep = <val5> )	pd . read_csv ( <val1> , sep = <val5> )
エクセルファイル <val3> のシート名 <val1> からデータフレームを読み込んで、 <name6> にする	<name6> = pd . read_excel ( <val3> , sheet_name = <val1> )	<name3> = pd . read_excel ( <val3> , sheet_name = <val1> )
