change flask security register url to <val1>	app . config [ 'SECURITY_REGISTER_URL' ] = <val1>	encoded = base64 . b64encode ( <val1> )
add a column <val2> with value <val3> to dataframe <name4>	<name4> . xs ( <val3> , level = <val2> , drop_level = False )	dt = <name4> [ <val2> ] + <name4> [ <val3> ] . dt . dt
List all the files that matches the pattern <val1>	glob . glob ( <val1> )	driver . find_element_by_css_selector ( <val1> ) . show ( )
Return rows of data associated with the maximum value of column <val5> in dataframe <name1>	<name1> . loc [ <name1> [ <val5> ] . idxmax ( ) ]	df . <name1> [ <name1> [ <val2> ] == <val3> ] . isin ( float ) ]
get the <name1> of Python <name3> under windows	os . <name1> . dirname ( sys . <name3> )	sys . <name1> . <name3> ( )
limit float 13.949999999999999 to two decimal points	'{0:.2f}' . format ( 13.95 )	'{0:.2f}' . format ( '{0:.2f}' . format ( 13.95 ) ) [ 0 ]
<name2> list <name1> by each element ' s attribute <name3> and attribute <name4> in <name5> order	<name1> . <name2> ( key = lambda x : ( x . <name3> , x . <name4> ) , <name5> = True )	<name5> . <name1> ( key = lambda x : x . <name2> , <name3> = True )
split string <name1> based on white spaces	re . findall ( '\\s+|\\S+' , <name1> )	<name1> . split ( )
create a <name1> list of integers	[ int ( 1000 * <name1> . <name1> ( ) ) for i in range ( 10000 ) ]	l = ( int ( x ) for x in <name1> )
<name5> series <name2> into 3 months bins and sum each bin	<name2> . <name5> ( '3M' , how = 'sum' )	<name5> . <name2> ( '\\r' , <val4> )
Convert each key , value pair <name1> a dictionary {'My Key': 'My Value'} to lowercase	dict ( ( k . lower ( ) , v . lower ( ) ) for k , v <name1> { 'My Key' : 'My Value' } . items ( ) )	dict ( ( k . lower ( ) , v ) for k , v in <name1> . items ( ) )
convert <name1> list of lists <name1> into list of tuples of appropriate elements form nested lists	zip ( * <name1> )	dict ( zip ( <name1> , zip ( ) ) , <name1> ) )
Use multiple <name5> and <name6> operations <val1> , <val4> , <val2> for pandas data frame <name3>	<name3> . <name5> ( level = 0 ) . <name6> ( [ <val1> , <val4> , <val2> ] )	np . <name6> ( <name5> , <name3> = <val4> ) . <name6> ( <val2> ) . <name6> ( )
create a <name1> of integers between 2 values <val2> and <val3>	<name1> ( range ( <val2> , <val3> ) )	{ i : int ( i + <val2> ) for i in range ( <val3> ) }
sort list <name1> of tuples by arbitrary <name2> from list <name3>	sorted ( <name1> , <name2> = lambda x : <name3> . index ( x [ 1 ] ) )	zip ( * sorted ( <name1> , <name2> ) )
remove parentheses and text within it in string <name1>	re . sub ( '\\([^)]*\\)' , '' , <name1> )	<name1> = re . sub ( '[^A-Za-z0-9]+' , '' , <name1> )
read the first line of a string <name3>	<name3> . splitlines ( ) [ 0 ]	<name3> [ 0 ] . rstrip ( '\n' ) [ 0 ]
<name1> a <val2> unauthorized in django	<name1> HttpResponse ( 'Unauthorized' , status = <val2> )	<name1> ( <val2> , 16 )
get first element of each tuple <name1> list <name2>	[ tup [ 0 ] for tup <name1> <name2> ]	new_list = [ x [ 0 ] [ 0 ] for x <name1> <name2> ]
<name2> a single subcolumn <val4> in column <val3> from a dataframe <name1>	<name1> . <name2> ( ( <val3> , <val4> ) , axis = 1 )	np . <name1> ( ( <name2> , <val3> , <val4> ) ) . mean ( )
<name2> unicode string <name1> into a readable unicode literal	<name1> . <name2> ( 'unicode_escape' )	<name4> . decode ( 'string_escape' ) . <name2> ( )
Create <name3> to contain the lists from list <name2> excluding the empty lists from <name2>	<name3> = [ x for x in <name2> if x ]	<name2> = [ x for x in <name3> if x ]
Get the difference between two lists [1, 2, 2, 2, 3] and [1, 2] that may have duplicate values	Counter ( [ 1 , 2 , 2 , 2 , 3 ] ) - Counter ( [ 1 , 2 ] )	dict ( [ 1 , 2 , 3 , 4 ] ) for i in [ 1 , 2 , 2 , 3 ] )
convert date <name6> to <name1>	<name1> . <name1> . combine ( <name6> , <name1> . time . min )	t . <name1> . <name1> . <name6> . strftime ( <name6> )
sort <name1> multidimensional array <name1> by column with index <val2>	sorted ( <name1> , key = lambda x : x [ <val2> ] )	sorted ( <name1> , key = <name1> . itemgetter ( <val2> ) )
sort two lists <name1> and <name2> together using <name3> function	[ list ( x ) for x in zip ( * sorted ( zip ( <name1> , <name2> ) , key = <name3> pair : pair [ 0 ] ) ) ]	dict ( zip ( <name1> , zip ( * <name2> ) ) )
Get keys from a dictionary 'd' where the <name1> is '1' .	print ( [ key for key , <name1> in list ( d . items ( ) ) if <name1> == 1 ] )	dict ( ( k , v ) for k , v in <name1> . items ( ) if v )
return the column for value <val1> in dataframe <name4>	<name4> . ix [ : , ( <name4> . loc [ 0 ] == <val1> ) ] . columns	any ( <name4> . <name4> . columns [ <val1> ] == <val1> )
extract attribute <name1> from each object <name2> list <name3>	[ o . <name1> for o <name2> <name3> ]	print ( [ item for item <name1> <name2> <name3> ] )
initialize a list <name1> of <val3> objects <name2> ( )	<name1> = [ <name2> ( ) for _ in range ( <val3> ) ]	<name1> = [ <name2> ( ) for i in range ( <val3> ) ]
Sort a string <name2> in lexicographic order	sorted ( <name2> , key = str . upper )	OrderedDict ( sorted ( sorted ( <name2> ) ) )
create list changed_list containing elements of list <name1> whilst converting strings containing digits to integers	changed_list = [ ( int ( f ) if f . isdigit ( ) else f ) for f in <name1> ]	changed_list = map ( lambda x : int , ( x [ 0 -1 ] ) for x in <name1> ] )
get the number of all keys <name1> the nested dictionary dict_list	len ( dict_test ) + sum ( len ( v ) for v <name1> dict_test . values ( ) )	{ i : len ( i ) for i in <name1> if i > len ( i ) }
append each line <name6> file <name2> into a list	[ x for x <name6> <name2> . splitlines ( ) if x != '' ]	<name6> . extend ( <name2> ) . split ( )
'split string `text` by ' <val1> ''	text . split ( <val1> )	s = re . split ( <val1> )
add character '@' after word 'get' in string <name4>	<name4> = re . sub ( '(\\bget\\b)' , '\\1@' , <name4> )	url = <name4> . replace ( url , '' , <name4> )
remove <name1> from dictionary <name6> <name4> the item ' s value <name3> is equal to <val2>	<name6> = { key : <name3> for key , <name3> in list ( <name6> . <name1> ( ) ) <name4> <name3> != <val2> }	dict ( ( x , <name1> . <name6> ( x ) ) for x in <name3> . <name4> ( ) )
get all characters between two $ characters in <name1> <name1>	re . findall ( '\\$([^$]*)\\$' , <name1> )	<name1> = re . findall ( '\\d+(?=[^[]+$)' , <name1> )
get the common prefix from comparing two absolute paths <val1> and <val2>	os . path . commonprefix ( [ <val1> , <val2> ] )	df . groupby ( [ <val2> , <val3> ] ) [ <val1> ] . read ( )
get <name2> <name3> of pandas dataframe <name1> as list	<name1> . <name2> . <name3> . tolist ( )	<name3> . <name1> . <name2> . tolist ( )
get <name3> of rows in dataframe <name1> which column <val2> matches value True	<name1> [ <name1> [ <val2> ] ] . <name3> . tolist ( )	<name4> [ <name1> [ <val2> ] == <name3> ]
subtract elements of list <name1> from elements of list <name3>	[ ( x1 - x2 ) for x1 , x2 in zip ( <name1> , <name3> ) ]	zip ( <name3> - <name1> ) [ : -1 ]
<name1> u'X\xc3\xbcY\xc3\x9f' as unicode and <name2> with utf -8	'X\xc3\xbcY\xc3\x9f' . <name1> ( 'raw_unicode_escape' ) . <name2> ( 'utf-8' )	stringnamehere . <name1> ( 'utf-8' , <name2> ) . encode ( 'utf-8' )
generate a <name5> number in <val1> to <val2> with a given distribution [ <val6> , <val4> , <val4> , <val3> , <val5> , <val3> ]	numpy . <name5> . choice ( numpy . arange ( <val1> , <val2> ) , p = [ <val6> , <val4> , <val4> , <val3> , <val5> , <val3> ] )	plt . <name1> ( [ <val2> , <val3> , <val4> ] , <name5> = [ <val4> , <val6> ] ) . replace ( )
check if dictionary <name2> is a <name2> of dictionary <name1>	all ( item in list ( <name1> . items ( ) ) for item in list ( <name2> . items ( ) ) )	isinstance ( k , v ) for k <name1> <name2> )
get rows of dataframe <name1> where column <name2> has values ['men', 'rocks', 'mountains']	<name1> [ <name1> . <name2> . isin ( [ 'men' , 'rocks' , 'mountains' ] ) ]	print ( <name1> . loc [ <name1> . loc [ <name1> , <name2> . isin ( [ 'B' ] ) ] ) ] )
get a <name1> of the row names from <name2> of a pandas data frame	<name1> ( df . <name2> )	datetime . <name1> ( ) . <name2> ( )
Return values for column <val4> after group by on column <val6> and <val1> in dataframe <name5>	<name5> . groupby ( [ <val6> , <val1> ] ) [ <val4> ] . unique ( )	print ( <name5> [ <val6> ] . str [ <val1> ] , <name5> [ <val4> : <val6> ] ] )
generate all permutations of <name1> [1, 2, 3] and <name1> [4, 5, 6]	print ( <name1> ( itertools . product ( [ 1 , 2 , 3 ] , [ 4 , 5 , 6 ] ) ) )	<name1> ( itertools . combinations ( ( [ 1 , 2 , 3 , 5 , 6 ] ) , [ 5 , 6 ] ) )
remove duplicated items from <name3> of lists <name1>	<name3> ( map ( <name3> , set ( map ( lambda i : tuple ( i ) , <name1> ) ) ) )	sum ( [ item for item <name1> <name2> ] for item <name1> <name3> )
Create a <name5> <name4> containing first element of each <name5> <name1> <name5> <name6>	<name4> = <name5> ( x [ 0 ] for x <name1> <name6> )	<name4> = [ <name6> ( x ) for x , y in <name1> . <name5> ( ) ]
group a list <name6> of tuples by values	zip ( * <name6> )	<name6> ( zip ( * <name6> [ 1 : ] ) ) [ 0 ]
'remove a substring ' <val1> ' from the end of string `url`'	print ( url . replace ( <val1> , '' ) )	urllib . parse . parse . sub ( url , '' , <val1> )
Generate a random integer between <val2> and <val4>	randint ( <val2> , <val4> )	[ ( i + <val2> ) for i in range ( <val4> ) ]
<name2> the index of sub string <val3> in string <name1>	<name1> . <name2> ( <val3> )	<name1> . <name2> ( <val3> )
removing key values pairs with key <val1> from a list of dictionaries <name2>	[ { k : v for k , v in d . items ( ) if k != <val1> } for d in <name2> ]	[ d [ <val1> ] for d in <name2> if d != <val1> } ]
prepend the line <val2> to the contents of file <val3> and save as the file <val1>	open ( <val1> , 'w' ) . write ( <val2> + open ( <val3> ) . read ( ) )	urllib . urlretrieve ( <val2> , <val1> ) . to_csv ( <val2> , <val3> )
update all values associated with key <name5> to string <val4> <name6> value <name1> is not equal to <val5> <name2> dictionary <name3>	{ <name5> : <val4> for <name5> , <name1> <name2> list ( <name3> . items ( ) ) <name6> <name1> != <val5> }	<name6> = { k : v for k , v in list ( <name1> . <name3> ( ) ) <name5> <name2> != <val3> }
Round number <name3> to <val2> precision after the decimal point	<name3> = str ( round ( <name3> , <val2> ) )	<name1> = <name3> . encode ( <val2> , 'ignore' )
Django get maximum value associated with field 'added' in model <name1>	<name1> . objects . filter ( group = group ) . order_by ( '-added' ) [ 0 ]	<name1> . objects . order_by ( '?' ) . order_by ( '?' ) [ 0 ]
Split string 'Hello' into a string of letters seperated by <val4>	'' '' ' ' <val4> ' ' '' ' . join ( ' Hello ' )'	<val4> '' ' ' <val4> ' ' ' '' ' . join ' )'
case insensitive string comparison between <name4> and <name1>	( <name4> . lower ( ) == <name1> . lower ( ) )	str ( <name4> ) . lower ( ) == str ( )
<name2> process <name6>	<name6> . <name2> ( )	( <name6> . <name2> ( ) )
Parse string <name5> into a <name4> object using format pattern <val3>	dateobj = <name4> . <name4> . strptime ( <name5> , <val3> ) . date ( )	<name5> . <name4> ( ) . strftime ( <val3> )
calculate the <name1> of the squares of each value in list <name2>	<name1> ( map ( lambda x : x * x , <name2> ) )	<name1> ( map ( lambda x : x * <name2> ) )
delete all occureces of <val2> <name3> each string <name1> <name3> list <name4>	print ( [ <name1> . replace ( <val2> , '' ) for <name1> <name3> <name4> ] )	dict ( [ s . strip ( ) for s <name4> <name1> <name3> ] , <val2> )
adding a <val1> - d <name5> [1, 2, 3, 4, 5, 6, 7, 8, 9] to a <val3> - d <name5> np.zeros((6, 9, 20))	np . zeros ( ( 6 , 9 , 20 ) ) + np . <name5> ( [ <val1> , 2 , <val3> , 4 , 5 , 6 , 7 , 8 , 9 ] ) [ ( None ) , : , ( None ) ]	numpy . zeros ( np . arange ( <name5> ) - <name5> [ 1 , 2 : , 3 , 7 , 7 , 8 , 7 , 8 ] ) [ <val1> ] ) [ 1 : 5 ] ( <name5> ]
capture final output of a chain of system commands <val1>	subprocess . check_output ( <val1> , shell = True )	sys . path . exit ( <val1> )
remove periods inbetween capital letters that aren ' t immediately preceeded by word character ( <name1> ) in a string <name1> using regular expressions	re . sub ( '(?<!\\w)([A-Z])\\.' , '\\1' , <name1> )	re . sub ( '.{20}(.mkv)' , '\\1' , <name1> )
Iterate over dictionary <name1> in ascending order of values	sorted ( iter ( <name1> . items ( ) ) , key = lambda x : x [ 1 ] )	set ( list ( <name1> . items ( ) ) )
