<name1> に <name1> を <name6> で割ったあまりを代入	<name1> % = <name6>	<name1> % = <name6>
要素をリスト <name1> からランダムに <val2> つチョイスする	random . sample ( <name1> , <val2> )	random . sample ( <name1> , <val2> )
<val5> と <val2> と <val4> を連結したファイルパス	os . path . join ( <val5> , <val2> , <val4> )	<val1> + <val4>
区切り文字に設定して文字列 <name3> を空白を後ろから分割してリスト型に置き換え、 <name4> に代入する	<name4> = <name3> . rsplit ( )	<name4> = <name3> . rsplit ( )
<name1> を <name2> で割ったあまりを算出する	<name1> % <name2>	<name1> % <name2>
<name2> 文字列を後ろから <name3> で分割してリストを返した結果を <name1> に代入する	<name1> = <name2> . rsplit ( <name3> )	<name1> = <name2> . rsplit ( <name3> )
<val2> を <name1> の最初に加える	<name1> . appendleft ( <val2> )	<name1> . appendleft ( <val2> )
文字列型に <name3> を変換し、 <name6> に代入する	<name6> = str ( <name3> )	<name6> = str ( <name3> )
<name3> を区切り文字、最大分割数を <val4> に指定して <name2> 文字列を後ろから分割してリスト型に置き換え、 <name1> にする	<name1> = <name2> . rsplit ( <name3> , <val4> )	<name1> = <name2> . rsplit ( <name3> , <val4> )
<name1> に並び順を保ったまま <name2> を挿入できる後ろの位置	bisect . bisect_right ( <name1> , <name2> )	bisect . bisect_right ( <name1> , <name2> )
文字列 <name1> の前後のスペースを取り除く	<name1> . strip ( )	<name1> . strip ( )
<name4> 値内の大文字を小文字に変換した結果を <name5> とする	<name5> = <name4> . lower ( )	<name5> = <name4> . lower ( )
<val1> というプロンプトを表示しユーザに文字列を入力させる	x = input ( <val1> )	x = input ( <val1> )
追加してリスト <name4> をリスト <name1> を拡張する	<name4> . extend ( <name1> )	<name4> . extend ( <name1> )
次のプログラムを <val2> 回ループ直す	for i in range ( <val2> ) :	for i in range ( <val2> ) :
<name4> を小さい方から順に並べ直した結果を <name3> にする	<name3> = <name4> . sort ( )	<name3> = <name4> . sort ( )
リスト <name1> 内の <name5> と等しい要素の先頭を取り除く	<name1> . remove ( <name5> )	<name1> . remove ( <name5> )
文字列 <name1> の最後から <val2> を除いた文字	<name1> . rstrip ( <val2> )	<name1> . rstrip ( <val2> )
空白を区切り文字に指定して文字列 <name2> を分割した結果をリストに置き換えた結果を <name1> に代入する	<name1> = <name2> . split ( )	<name1> = <name2> . split ( )
リスト <name1> の <val2> 番目の値を消去する	del <name1> [ <val2> ]	del <name1> [ <val2> ]
辞書 <name2> にキー <name1> が含まれているかどうか	<name1> in <name2>	<name2> in <name2>
スペースを区切り文字に指定して <name5> を最後から分割してリストに直された結果を <name6> にする	<name6> = <name5> . rsplit ( )	<name6> = <name5> . rsplit ( )
<name3> を後ろから <name5> で最大分割数 <val4> まで分割したデータのリストを <name2> とする	<name2> = <name3> . rsplit ( <name5> , <val4> )	<name2> = <name3> . rsplit ( <name5> , <val4> )
<name5> 文字列の中の <val4> がある右側の位置	<name5> . rfind ( <val4> )	<name5> . rfind ( <val4> )
整数値としてユーザから入力を得た結果を <name4> に代入する	<name4> = int ( input ( ) )	<name4> = int ( input ( ) )
<name2> の終わりが <name5> であるかどうか	<name2> . endswith ( <name5> )	<name2> . endswith ( <name5> )
長さが <name6> になるように '0' で <name4> を右寄せした値を <name5> とする	<name5> = <name4> . zfill ( <name6> )	<name5> = <name4> . zfill ( <name6> )
<val1> 以上 <name2> + <val1> 未満で <val1> ずつ増える数列	range ( <val1> , <name2> + <val1> )	range ( <val1> , <name2> + <val1> , <val1> )
もし <name1> が <name2> で割り切れるのとき	if <name1> % <name2> == 0 :	if <name1> % <name2> == 0 :
<name1> の双曲線正接を見る	math . tanh ( <name1> )	math . tanh ( <name1> )
<name2> を区切り文字、最大分割数を <val3> に指定して文字列 <name1> を最後から分割してリスト型にする	<name1> . rsplit ( <name2> , <val3> )	<name1> . rsplit ( <name2> , <val3> )
<name2> の <val4> 番目から <val5> 番目の間で <val3> を右側から探して見つかった位置を <name1> に代入する	<name1> = <name2> . rfind ( <val3> , <val4> , <val5> )	<name1> = <name2> . rfind ( <val3> , <val5> , <val5> )
<val1> を <val2> で割った商	<val1> // <val2>	divmod ( <val1> , <val2> )
<name1> 内の値を連結したデータ	'' . join ( <name1> )	'' . join ( <name1> )
セット <name1> とセット <name2> の対称差集合を求める	<name1> . symmetric_difference ( <name2> )	<name1> . symmetric_difference ( <name2> )
ユーザが入力した値をリストに格納し、 <name1> とする	<name1> = list ( input ( ) )	<name1> = list ( input ( ) )
<name2> をリスト <name1> の末尾に付加する	<name1> . append ( <name2> )	<name1> . append ( <name2> )
<name2> を浮動小数点数型に変換し、 <name1> にする	<name1> = float ( <name2> )	<name1> = float ( <name2> )
セット <name5> とセット <name6> の差	<name5> . difference ( <name6> )	<name5> . difference ( <name6> )
<name1> の 0 番目から <name2> 番目のデータを得る	<name1> [ : <name2> ]	<name1> [ <name2> : <name2> ]
リスト <name1> の中の <name2> が存在する最初のインデックスを取得する	<name1> . index ( <name2> )	<name1> . index ( <name2> )
<name3> を区切り文字、最大分割数を <val4> に設定して <name2> 文字列を後ろから分割してリストに置き換えられた結果を <name1> とする	<name1> = <name2> . rsplit ( <name3> , <val4> )	<name1> = <name2> . rsplit ( <name3> , <val4> )
<name2> 集合が <name1> 集合と互いに素かどうか	<name2> . isdisjoint ( <name1> )	<name2> . isdisjoint ( <name1> )
<name3> に並び順を保ったまま <name5> を挿入できる終わりのインデックス	bisect . bisect_right ( <name3> , <name5> )	bisect . bisect_right ( <name3> , <name5> )
<name2> を区切り文字、最大分割数を <val3> に設定して <name1> 文字列を最後から分割してリストにして返す	<name1> . rsplit ( <name2> , <val3> )	<name1> . rsplit ( <name2> , <val3> )
入力値を得た結果を <name1> とする	<name1> = input ( )	<name1> = input ( )
<val1> と <val2> を連結する	<val1> + <val2>	<val1> + <val2>
<name4> の出力を区切らないで行う	print ( <name4> , sep = '' )	for <name4> in range ( len ( <name4> ) :
無限に <name2> リストを繰り返した列	itertools . cycle ( <name2> )	itertools . cycle ( <name2> )
文字列 <name1> を終わりから <name2> で分割してリストを返す	<name1> . rsplit ( <name2> )	<name1> . rsplit ( <name2> )
リスト <name1> のコピーを <name2> に代入する	<name2> = <name1> . copy ( )	<name2> = <name1> . copysign ( )
<name3> の <val2> 乗	<name3> ** <val2>	<name3> + <val2>
<name5> リストの平均値	sum ( <name5> ) / len ( <name5> )	sum ( <name5> ) / len ( <name5> )
<name2> が正規表現 <name1> のパターンにマッチした文字列のリスト	re . findall ( <name1> , <name2> )	re . subn ( <name1> , <name2> )
文字列 <name5> の先頭から <val4> を除いた値を <name3> に代入する	<name3> = <name5> . lstrip ( <val4> )	<name3> = <name5> . lstrip ( <val4> )
<name1> の最後から空白改行を取り除いた文字列	<name1> . rstrip ( )	<name1> . rstrip ( )
文字列 <name5> の中の <val2> 番目以降に <val6> がある位置	<name5> . find ( <val6> , <val2> )	<name5> . find ( <val6> , <val2> )
<name1> を区切り文字、最大分割数を <val2> に指定して <name5> を最後から分割してリスト型にし、 <name3> とする	<name3> = <name5> . rsplit ( <name1> , <val2> )	<name3> = <name5> . rsplit ( <name1> , <val2> )
<name1> リストの <name2> 番目から値を取り出す	<name1> . pop ( <name2> )	<name1> . pop ( <name2> )
<name1> を <val2> で分割する	<name1> . split ( <val2> )	<name1> . split ( <val2> )
<name3> 内の <val6> 番目以降に <val1> がある位置	<name3> . find ( <val1> , <val6> )	<name3> . find ( <val1> , <val6> )
<name2> の最初から <val3> を除いた値を <name1> にする	<name1> = <name2> . lstrip ( <val3> )	<name1> = <name2> . lstrip ( <val3> )
文字列 <name2> をスペースで分割してリストを返し、 <name1> にする	<name1> = <name2> . split ( )	<name1> = <name2> . split ( )
リスト <name6> を大きい方から順に直した結果を <name2> にする	<name2> = <name6> . reverse ( )	<name2> = <name6> . reverse ( )
ユーザから入力された値をリストに直し、 <name1> にする	<name1> = list ( input ( ) )	<name1> = list ( input ( ) )
<name6> が英大文字かどうか	<name6> . isupper ( )	<name6> . isupper ( )
<name4> リストに含まれる要素が少なくともひとつは真かどうか	any ( <name4> )	any ( <name4> )
<name2> の左側から空白改行を抜いたデータを <name1> にする	<name1> = <name2> . lstrip ( )	<name1> = <name2> . lstrip ( )
<name4> を区切り文字、最大分割数を <val6> として <name2> 文字列を分割した結果をリスト型にして返す	<name2> . split ( <name4> , <val6> )	<name2> . split ( <name4> , <val6> )
入力された値を半角スペースで分割し <name1> 、 <name2> 、 <name3> と置き換える	<name1> , <name2> , <name3> = input ( ) . split ( )	<name1> , <name2> , <name3> = input ( ) . split ( )
<name1> 集合と <name2> セットの共通部分	<name1> . intersection ( <name2> )	<name1> . intersection ( <name2> )
入力された数値を半角スペースで区切ってリストとして受け取る	list ( map ( int , input ( ) . split ( ) ) )	list ( map ( int , input ( ) . split ( ) ) )
<name5> リストの <val4> 番目の値を取り除く	del <name5> [ <val4> ]	del <name5> [ <val4> ]
<name1> 文字列を終わりから <name4> で最大分割数 <val6> まで分割したデータのリストを <name5> にする	<name5> = <name1> . rsplit ( <name4> , <val6> )	<name5> = <name1> . rsplit ( <name4> , <val6> )
集合 <name1> とセット <name2> の共通部分	<name1> . intersection ( <name2> )	<name1> . intersection ( <name2> )
<name1> 文字列を末尾から <name2> で最大分割数 <val3> まで分割したデータのリスト	<name1> . rsplit ( <name2> , <val3> )	<name1> . rsplit ( <name2> , <val3> )
<name2> の角度を <name1> に代入する	<name1> = math . degrees ( <name2> )	<name1> = math . degrees ( <name2> )
入力された整数値を半角スペースごとに受け取り <name4> 、 <name2> 、 <name5> とする	<name4> , <name2> , <name5> = map ( int , input ( ) . split ( ) )	<name4> , <name2> , <name5> = map ( int , input ( ) . split ( ) )
半角スペースを区切り文字に設定して <name1> 文字列を分割した結果をリスト型に直す	<name1> . split ( )	<name1> . split ( )
<name1> に <name1> を <name2> で割った余りを代入する	<name1> % = <name2>	<name1> % = <name2>
<name3> を区切り文字、最大分割数を <val5> に設定して文字列 <name6> を分割した結果をリストにされた結果を <name1> とする	<name1> = <name6> . split ( <name3> , <val5> )	<name1> = <name6> . split ( <name3> , <val5> )
<name3> の中の値を連結した値を <name6> に代入する	<name6> = '' . join ( <name3> )	<name6> = '' . join ( <name3> )
<name1> が <val2> で割った時の余りが <val3> 、または、	<name1> % <val2> == <val3> or	<name1> % <val2> == <val3> or
<name2> を降順にソート置き換えた結果を <name1> とする	<name1> = <name2> . sort ( reverse = True )	<name1> = <name2> . sort ( reverse = True )
スペースを区切り文字に指定して <name1> 文字列を分割した結果をリストに置き換える	<name1> . split ( )	<name1> . split ( )
文字列 <name2> の英大文字と英小文字を逆にしたデータを <name1> にする	<name1> = <name2> . strswap ( )	<name1> = <name2> . strswap ( )
リスト <name2> のコピー	<name2> . copy ( )	<name2> . copysign ( <name2> )
<name1> と <name2> のコンビネーションを算出する	math . comb ( <name1> , <name2> )	math . comb ( <name1> , <name2> )
<name1> を <name2> でわったときの商とあまりの組を算出する	divmod ( <name1> , <name2> )	divmod ( <name1> , <name2> )
区切り文字に設定して <name2> を空白を最後から分割してリストにされた結果を <name1> にする	<name1> = <name2> . rsplit ( )	<name1> = <name2> . rsplit ( )
データに <val3> をする	str ( <val3> )	str ( <val3> )
<name5> からランダムに値をチョイスする	random . choice ( <name5> )	random . choice ( <name5> )
<name3> 内の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた文字列と置き換えた箇所の数	re . subn ( <name1> , <name2> , <name3> )	re . subn ( <name1> , <name2> , <name3> )
入力された値をリスト化した結果を <name1> に代入する	<name1> = list ( input ( ) )	<name1> = list ( input ( ) )
後ろから <name2> で文字列 <name1> を最大分割数 <val6> まで分割した値のリストを <name4> とする	<name4> = <name1> . rsplit ( <name2> , <val6> )	<name4> = <name1> . rsplit ( <name2> , <val6> )
区切り文字に設定して文字列 <name4> をスペースを最後から分割してリストに直し、 <name3> にする	<name3> = <name4> . rsplit ( )	<name3> = <name4> . rsplit ( )
<name2> リストを大きい方から順に置き換えられた結果を <name1> とする	<name1> = <name2> . reverse ( )	<name1> = <name2> . reverse ( )
リスト <name1> を逆順に置き換える	<name1> . reverse ( )	<name1> . reverse ( )
リスト <name5> の平均値	sum ( <name5> ) / len ( <name5> )	sum ( <name5> ) / len ( <name5> )
カンマ区切りで <name6> をプリントする	print ( <name6> , sep = ',' )	<name6> . print ( ',' )
<name1> 内の小文字を大文字に直す	<name1> . upper ( )	<name1> . upper ( )
<name1> に含まれる全ての要素が真かどうか	all ( <name1> )	all ( <name1> )
<val2> 足す <val5>	<val2> + <val5>	<val2> + <val5>
<name1> の絶対値をチェックする	math . fabs ( <name1> )	math . fabs ( <name1> )
