<name1> の最後の 5 行を表示する	<name1> . tail ( )	<extra_id_0> . head ( )
グラフのタイトルを <val6> とする。	plt . title ( <val6> )	<extra_id_0> . plot ( <val1> )
<name1> の <val2> 列が <val3> より大きければ <val4> に置換し、上 5 行を表示する	pd . DataFrame ( <name1> [ <val2> ] . mask ( <name1> [ <val2> ] > <val3> , <val4> ) ) . head ( )	<extra_id_0> . head ( <val1> )
<name4> を <name2> と名前を付けてインポート	import <name4> as <name2>	<extra_id_0> . head ( <val1> )
<name1> の <val2> 列と <val3> 列の上 5 行を表示する	<name1> [ [ <val2> , <val3> ] ] . head ( )	<extra_id_0> . plot ( <val1> )
複数のグラフを <val3> つにまとめて表示して、これは <val2> 行 <val3> 列の <val3> 番目の位置にプロットする	plt . subplot ( <val2> , <val3> , <val3> )	<extra_id_0> . plot ( <val1> )
<name6> <name1> を <name2> としてインポートする	import <name6> <name1> as <name2>	<extra_id_0> . head ( <val1> )
列 <val3> , 列 <val6> , 列 <val4> , 列 <val1> , 列 <val5> を全てダミー化したものを <name2> とする	<name2> = pd . get_dummies ( df , columns = [ <val3> , <val6> , <val4> , <val1> , <val5> ] )	<extra_id_0> . plot ( <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> , <val1> 
<name1> の <val2> 列を <val3> 列とする	<name1> . rename ( columns = { <val2> : <val3> } , inplace = True )	<extra_id_0> . plot ( <val1> )
<name3> について、列 <val4> の値ごとに <val2> の数をカウント	<name3> . groupby ( [ <val4> ] ) [ <val2> ] . count ( )	<extra_id_0> . plot ( <val1> )
<name1> の 'wether' 列の値をカウントする	<name1> [ 'weather' ] . value_counts ( )	<extra_id_0> . head ( <val1> )
ラベルを <val4> として、 <name3> と <name6> の値からプロット	plt . plot ( <name3> , <name6> , label = <val4> )	<extra_id_0> . plot ( <val1> )
<name6> の欠損値が含まれている行を抽出し、その列数と行数を確認する	<name6> [ <name6> . isnull ( ) . any ( axis = 1 ) ] . shape	<extra_id_0> . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
<name1> の列 <val2> に存在する値を重複を省いて取得	<name1> [ <val2> ] . unique ( )	<extra_id_0> . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
<name1> の 'paypay' 列に含まれる欠損値を <val2> に置き換える	<name1> . fillna ( value = { 'payday' : <val2> } , inplace = True )	<extra_id_0> . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' . 'pay' , <val1> )
weather 'を軸に' temperature 'の平均値を求める。	df . groupby ( [ 'weather' ] ) [ 'temperature' ] . mean ( )	<extra_id_0> . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature' . 'temperature'
<name1> に含まれる欠損値の有無を行ごとに判定し、初めの5行について結果を表示	<name1> [ <name1> . isnull ( ) . any ( axis = 1 ) ] . head ( )	<extra_id_0> . . axis ( <val1> )
<name1> の <val2> 列が <val3> より大きいものを抽出する	<name1> [ <name1> [ <val2> ] > <val3> ]	<extra_id_0> . plot ( <val1> )
