表 <name2> 上の NaN を消した結果でインプレースする	<name2> . dropna ( inplace = True )	<name2> . dropna ( inplace = True )
<name3> 表の中にある <val6> を未記入の値に置き換えて、 <name5> とする	<name5> = <name3> . replace ( <val6> , np . nan )	<name5> = <name3> . replace ( <val6> , np . nan )
ヘッダーをなしで <val4> を読み込まれた結果を <name3> とする	<name3> = pd . read_csv ( <val4> , header = None )	<name3> = pd . read_csv ( <val4> , header = None )
<val5> に文字の大きさを設定する	fontsize = <val5>	fontsize = <val5>
表 <name5> の中の未入力の値を含む行を取り除いた結果を <name5> にする	<name5> = <name5> . dropna ( )	<name5> = <name5> . dropna ( )
表 <name2> の中のカテゴリーを数値データで置き換える	pd . get_dummies ( <name2> )	pd . get_dummies ( <name2> )
表 <name1> のインデックス名	<name1> . index	<name1> . index
円グラフ中に構成割合を示す小数点以下 2 桁までの数値をパーセントで表示する	autopct = '%.2f%%'	autopct = '%.2f%%'
表 <name1> 内のそれぞれのカラムにある <val2> の個数の数を表示する	<name1> . isin ( [ <val2> ] ) . sum ( )	<name1> . isin ( [ <val2> ] ) . sum ( )
表 <name5> の <val3> を未記入の値で埋めて、置き換える	<name5> = <name5> . replace ( <val3> , np . nan )	<name5> = <name5> . replace ( <val3> , np . nan )
<name2> 表のカラム名	<name2> . columns	<name2> . columns
エンコーディングを shift - jis として、 <val5> を読み込んで、 <name2> に代入する	<name2> = pd . read_csv ( <val5> , encoding = 'shift_jis' )	<name2> = pd . read_csv ( <val5> , encoding = 'shift_jis' )
ビン数を <name5> として要素数が等しくなるように表 <name6> の列 <val3> を分割する	pd . qcut ( <name6> [ <val3> ] , <name5> )	pd . qcut ( <name6> [ <val3> ] , <name5> )
<name3> 表中のカラムそれぞれに存在する <val1> の個数の和を見る	<name3> . isin ( [ <val1> ] ) . sum ( )	<name3> . isin ( [ <val1> ] ) . sum ( )
<name3> 全体をインデックスを軸に小さい順でソートして、 <name3> に代入する	<name3> = <name3> . sort_index ( )	<name3> = <name3> . sort_index ( )
<name1> 表の <val3> を欠損で埋めた結果を <name1> とする	<name1> = <name1> . replace ( <val3> , np . nan )	<name1> = <name1> . replace ( <val3> , np . nan )
表 <name1> のコラム <val6> をインデックスに指定し、置き換える	<name1> . set_index ( <val6> , inplace = True )	<name1> = <name1> . set_index ( <val6> )
エクセルファイル <val6> の全てのシートを表に読む	pd . read_excel ( <val6> , sheet_name = None )	pd . read_excel ( <val6> , sheet_name = None )
<name4> 表のインデックスをリセットして、元のインデックスを削除された結果で置き換える	<name4> = <name4> . reset_index ( drop = True )	<name4> = <name4> . reset_index ( drop = True )
元のインデックスを削除してから、表 <name2> のインデックスをリセットして、 <name2> とする	<name2> = <name2> . reset_index ( drop = True )	<name2> = <name2> . reset_index ( drop = True )
<name1> 表の <val3> コラムのダブっている行を取り除かれた結果を <name1> にする	<name1> = <name1> . drop_duplicates ( subset = <val3> )	<name1> = <name1> . drop_duplicates ( subset = <val3> )
<name4> 中の重複要素がある行を削除して、 <name3> とする	<name3> = <name4> . drop_duplicates ( )	<name3> = <name4> . drop_duplicates ( )
表 <name2> 中に存在する <val6> を欠損にする	<name2> . replace ( <val6> , np . nan )	<name2> . replace ( <val6> , np . nan )
<name1> 全体を <val5> を元に昇順でソートして、置き換える	<name1> . sort_values ( <val5> , inplace = True )	<name1> = <name1> . sort_values ( <val5> )
ある <val5> を <name1> 表に未入力の値で埋めた結果で書き換える	<name1> . replace ( <val5> , np . nan , inplace = True )	<name1> . replace ( <val5> , np . nan , inplace = True )
<name2> 表中の <val5> を欠損に置換し欠損が存在する行を削除した結果を <name3> にする	<name3> = <name2> . replace ( <val5> , np . nan ) . dropna ( )	<name3> = <name2> . replace ( <val5> , np . nan ) . dropna ( )
列 <val4> をキーとして表 <name5> と表 <name2> をマージし、 <name3> にする	<name3> = pd . merge ( <name5> , <name2> , on = <val4> )	<name3> = pd . merge ( <name5> , <name2> , on = <val4> )
表 <name5> の列 <val4> をビン数を <name1> として分割し、 <name6> とする	<name6> = pd . cut ( <name5> [ <val4> ] , <name1> )	<name6> = pd . cut ( <name5> [ <val4> ] , <name1> )
カラム <val3> に表 <name2> 全体を基づいて昇順でソートして、再代入する	<name2> = <name2> . sort_values ( <val3> )	<name2> = <name2> . sort_values ( <val3> )
<name5> のインデックスをリセット設定して、元のインデックスを削除し、インプレースする	<name5> . reset_index ( drop = True , inplace = True )	<name5> . reset_index ( drop = True , inplace = True )
<name3> の列の名前を <val1> から <val4> に変更し、再代入する	<name3> = <name3> . rename ( columns = { <val1> : <val4> } )	<name3> = <name3> . rename ( columns = { <val1> : <val4> } )
<name1> の重複要素がある行を取り除き、再代入する	<name1> = <name1> . drop_duplicates ( )	<name1> = <name1> . drop_duplicates ( )
区間を <name1> 、ビンの名前を <name3> として <name5> の <val4> を分割した結果を <name6> に代入する	<name6> = pd . cut ( <name5> [ <val4> ] , <name1> , label = <name3> )	<name6> = pd . cut ( <name5> [ <val4> ] , <name1> , label = <name3> )
表 <name1> のインデックスをリセットして、元のインデックスを削除した結果を <name4> に代入する	<name4> = <name1> . reset_index ( drop = True )	<name4> = <name1> . reset_index ( drop = True )
<val3> に x 軸のラベルを設定する	plt . xlabel ( <val3> )	plt . xlabel ( <val3> )
