change flask security register url to <val1>	app . config [ 'SECURITY_REGISTER_URL' ] = <val1>	urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . urllib . url
add a column <val2> with value <val3> to dataframe <name4>	<name4> . xs ( <val3> , level = <val2> , drop_level = False )	<name1> . to_index ( <val2> , <val3> )
List all the files that matches the pattern <val1>	glob . glob ( <val1> )	<name1> . listdir ( '[^\\w]+' , '[^\\w]+' )
Return rows of data associated with the maximum value of column <val5> in dataframe <name1>	<name1> . loc [ <name1> [ <val5> ] . idxmax ( ) ]	<name1> . values ( )
get the <name1> of Python <name3> under windows	os . <name1> . dirname ( sys . <name3> )	<name1> . <name2> ( '\\w' )
limit float 13.949999999999999 to two decimal points	'{0:.2f}' . format ( 13.95 )	<name1> . float ( '%s-%m-%s-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%m-%
<name2> list <name1> by each element ' s attribute <name3> and attribute <name4> in <name5> order	<name1> . <name2> ( key = lambda x : ( x . <name3> , x . <name4> ) , <name5> = True )	<name1> . <name2> ( )
split string <name1> based on white spaces	re . findall ( '\\s+|\\S+' , <name1> )	<name1> . split ( '\\w+' , '' )
create a <name1> list of integers	[ int ( 1000 * <name1> . <name1> ( ) ) for i in range ( 10000 ) ]	<name1> = [ x for x in <name1> if x . items ( ) ]
<name5> series <name2> into 3 months bins and sum each bin	<name2> . <name5> ( '3M' , how = 'sum' )	<name1> . <name2> ( )
sort a list of dictionaries <name4> by values in <name5> <val6> in descending order	newlist = sorted ( <name4> , <name5> = itemgetter ( <val6> ) , reverse = True )	sorted ( <name1> , key = lambda x : x [ 0 ] , x [ 0 ] )
Convert each key , value pair <name1> a dictionary {'My Key': 'My Value'} to lowercase	dict ( ( k . lower ( ) , v . lower ( ) ) for k , v <name1> { 'My Key' : 'My Value' } . items ( ) )	[ 'My Value' ] for i in range ( { 'My Value' : 'My Value' } )
convert <name1> list of lists <name1> into list of tuples of appropriate elements form nested lists	zip ( * <name1> )	<name1> = [ x for x in <name1> if x . items ( ) ]
