<name4> の末尾に <name5> を追加	<name4> . append ( <name5> )	<extra_id_0> bodi :
<name6> 内の各要素を <name1> として	for <name1> in <name6> :	<extra_id_0> :
<name2> が <name3> 個並んでいるリストを <name1> に代入	<name1> = [ <name2> ] * <name3>	<extra_id_0>
<name4> の各要素の番号を順に <name5> として	for <name5> in range ( len ( <name4> ) ) :	<extra_id_0> )
<name1> の末尾に <name2> を結合する	<name1> += <name2>	<extra_id_0> :
<name1> に <val3> を代入	<name1> = <val3>	<extra_id_0> )
<name2> と <name1> が等しければ True 、そうでなければ False を返す	return <name2> == <name1>	<extra_id_0> )
<name1> を <name2> の文字列表現とする	<name1> = str ( <name2> )	<extra_id_0> )
<name6> の各要素を <name4> として	for <name4> in <name6> :	<extra_id_0> ( :
もし <name1> と <name2> が等しければ	if <name1> == <name2> :	<extra_id_0> :
<name2> の <name5> -1 番目の要素を返す	return <name2> [ <name5> - 1 ]	<extra_id_0>
<name6> の <name5> 番目を返す	return <name6> [ <name5> ]	<extra_id_0> <extra_id_0>
<name4> に空のリストを代入	<name4> = [ ]	<extra_id_0> <extra_id_0>  )
<name2> に <name1> を足す	<name2> += <name1>	<extra_id_0>
<name1> の末尾に <name2> の表す整数を追加	<name1> . append ( int ( <name2> ) )	<extra_id_0> <extra_id_0> :
<name1> に <name2> を <val3> で割った余りを代入	<name1> = <name2> % <val3>	<extra_id_0> <extra_id_0> <extra_id_0> ( :
<name3> を <val5> から <val4> まで変化させて繰り返し	for <name3> in range ( <val5> , <val4> ) :	<extra_id_0> )
<name1> が <val2> でわりきれるなら	if <name1> % <val2> == 0 :	<extra_id_0> <extra_id_0> :
<name1> を <val2> で割った整数部分を新しい <name1> とする	<name1> = int ( <name1> / <val2> )	<extra_id_0> )
<name4> と <name1> と <name3> を引数とする関数 euler006_make_common_dif_sequence_a の定義	def euler006_make_common_diff_sequence_a ( <name4> , <name1> , <name3> ) :	<extra_id_0> <extra_id_0> <extra_id_0> ( :
<name1> の末尾に <name3> を追加する	<name1> . append ( <name3> )	<extra_id_0> :
toword の <name2> / <val3> 番目の要素の長さを <name1> に足す	<name1> += len ( twoword [ int ( <name2> / <val3> ) ] )	<extra_id_0> <extra_id_0> ( )
<name5> 未満の非負整数 <name5> を小さい方から順に	for x in range ( <name5> ) :	<extra_id_0> )
<name1> の <name2> + <val3> 番目に <name1> の <name2> 番目と <name2> + <val3> の積を代入	<name1> [ <name2> + <val3> ] = <name1> [ <name2> ] * ( <name2> + <val3> )	<extra_id_0>
<name1> の <name2> 乗を返す	return <name1> ** <name2>	<extra_id_0>
0 から <val2> 未満の整数を順に <name1> として	for <name1> in range ( <val2> ) :	<extra_id_0> <extra_id_0> :
<name1> を引数とする関数 <name4> の定義	def <name4> ( <name1> ) :	<extra_id_0> )
<name3> に <val2> を代入	<name3> = <val2>	<extra_id_0> + :
<name5> の <name1> % <val6> 番目を返す	return <name5> [ <name1> % <val6> ]	<extra_id_0> <extra_id_0>uhai )
<name3> を <val1> とする	<name3> = <val1>	<extra_id_0> <extra_id_0> <extra_id_0>  :
<name1> に <name3> / <val4> の整数部分の <val2> 倍と <name3> / <val4> の整数部分を <val5> で割った整数部分の和を代入	<name1> = <val2> * int ( <name3> / <val4> ) + int ( int ( <name3> / <val4> ) / <val5> )	<extra_id_0> )
<name2> に <name3> 個の <val1> を要素とするリストを代入	<name2> = [ <val1> ] * <name3>	<extra_id_0> )
もし <name4> が <val3> より大きく、かつ <val2> 以下であるなら	if <val3> < <name4> <= <val2> :	<extra_id_0>
<name5> から <name3> までの数を順に <name4> として	for <name4> in range ( <name5> , <name3> + 1 ) :	<extra_id_0> )
<name1> と <name2> と <name4> を引数とする関数 <name6> の定義	def <name6> ( <name1> , <name2> , <name4> ) :	<extra_id_0>
<name6> に <name5> -1 を渡した結果を <name3> とする	<name3> = <name6> ( <name5> - 1 )	<extra_id_0> <extra_id_0> <extra_id_0> in <extra_id_0> (
もし <name1> が半角スペースなら	if <name1> == ' ' :	<extra_id_0>
<name3> の <name4> 番目を <name6> にする	<name3> [ <name4> ] = <name6>	<extra_id_0> )
<name1> を空リストとする	<name1> = [ ]	<extra_id_0> )
<name6> に <name4> の <name5> 番目の要素を掛ける	<name6> *= <name4> [ <name5> ]	<extra_id_0> ( )
ループを抜ける	break	<extra_id_0> :
上記のいずれでもなければ	else :	<extra_id_0> )
<name5> , <name1> , <name4> を引数とする関数 <name2> の定義	def <name2> ( <name5> , <name1> , <name4> ) :	<extra_id_0> )
<name2> に <name6> が含まれていなければ	if not <name6> in <name2> :	<extra_id_0> <extra_id_0> : ) )
<name4> に <val1> のみからなるリストを代入	<name4> = [ <val1> ]	<extra_id_0> ) )
<val2> から <name3> の平方根までの整数を <name1> として	for <name1> in range ( <val2> , int ( <name3> ** 0.5 ) + 1 ) :	<extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0>uhai  :
<name4> から <val6> を引く	<name4> -= <val6>	<extra_id_0> ) )
<name1> に <val2> の文字数を足す	<name1> += len ( <val2> )	<extra_id_0> + :
0 から <name1> -1 までを順に要素として持つリストを返す	return list ( range ( <name1> ) )	<extra_id_0> )
<name2> の <name1> + <val4> 番目に <name3> の <name1> 番目と <name1> + <val4> 番目の要素の和を追加する	<name2> . insert ( <name1> + <val4> , <name3> [ <name1> ] + <name3> [ <name1> + <val4> ] )	<extra_id_0> )
<name1> を空のリストとする	<name1> = [ ]	<extra_id_0> )
<name3> が <name5> で割り切れるなら	if <name3> % <name5> == 0 :	<extra_id_0> <extra_id_0>mirin :
<name3> を <name5> で割る	<name3> /= <name5>	<extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0>uhai  :
<val2> から <val3> 未満の整数を順に <name1> として	for <name1> in range ( <val2> , <val3> ) :	<extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0>uhai  ) )
<name3> の末尾に <name1> を追加する	<name3> . append ( <name1> )	<extra_id_0> :
<name2> と <name3> の組を <name1> に追加する	<name1> . append ( ( <name2> , <name3> ) )	<extra_id_0>
もし <name2> が <val1> 以上で <name3> が <val4> 以下であれば	if <val1> <= <name2> and <name3> <= <val4> :	<extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0>uhai  (
<name1> の <name2> 番目を返す	return <name1> [ <name2> ]	<extra_id_0>
<name5> が <name3> で割り切れるなら True 、そうでないなら False を返す	return <name5> % <name3> == 0	<extra_id_0> <extra_id_0> <extra_id_0> <extra_id_0>  :
<name4> と <name2> と <name5> の積を返す	return <name4> * <name2> * <name5>	<extra_id_0> )
<name4> と <name1> の大きい方を新しい <name4> とする	<name4> = max ( <name4> , <name1> )	<extra_id_0> )
<name1> を引数とする関数 euler002_n_fibonacci_sequence の定義	def euler002_n_fibnocci_sequence ( <name1> ) :	<extra_id_0> )
<name1> に <val3> を足す	<name1> += <val3>	<extra_id_0> <extra_id_0> <extra_id_0>  (
<name4> が <val1> でない間	while <name4> != <val1> :	<extra_id_0> <extra_id_0> ( :
<name4> に <name5> + <val2> の自乗を足す	<name4> += ( <name5> + <val2> ) * ( <name5> + <val2> )	<extra_id_0> )
<name1> が <val2> で割り切れるなら <name1> を <val2> で割った商を、そうでないなら <name1> の <val3> 倍に <val4> を足した数を新しい <name1> とする	<name1> = int ( <name1> / <val2> ) if <name1> % <val2> == 0 else <name1> * <val3> + <val4>	<extra_id_0> )
<name1> に <name2> を代入	<name1> += <name2>	<extra_id_0> :
<name5> を返す	return <name5>	<extra_id_0> :
<name1> に <name2> の後ろから <name3> 番目の要素を足す	<name1> += <name2> [ len ( <name2> ) - 1 - <name3> ]	<extra_id_0>
<name1> に <name3> 個の <val2> を要素とするリストを代入	<name1> = [ <val2> ] * <name3>	<extra_id_0> <extra_id_0> bodi ( :
<name2> が <name4> 以下の間繰り返し	while <name2> <= <name4> :	<extra_id_0> )
引数 <name4> を取る関数 <name6> の定義	def <name6> ( <name4> ) :	<extra_id_0>
